question,option_a,option_b,option_c,option_d,answer
"في عام 2010، ارتفع المستوى العام للأسعار في المقاطعة بنسبة 2.4٪ فقط، وكانت الزيادة معتدلة نسبيًا، حيث انخفض معدل الزيادة حتى بنسبة 0.6 نقطة مئوية عن عام 2009. ومع ذلك، يشعر الناس العاديون أن ارتفاع الأسعار مرتفع نسبيًا، وتظهر بعض الإحصاءات أيضًا أن مشاعر الناس لها ما يبررها. أظهر تقرير إحصائي لشهر في عام 2010 أن أسعار سلع الدواجن والبيض ارتفعت بنسبة 12.3٪ في ذلك الشهر، وارتفعت بعض الخضروات المخالفة للموسم حتى بأكثر من 20٪.
",هناك انحرافات في فهم الناس للبيانات والإحصاءات من مصادر مختلفة وستنتج نتائج مختلفة.,تتشابك العوامل المختلفة التي تؤثر على التغير في المستوى العام لأسعار الاستهلاك.,على الرغم من أن الزيادة في بعض السلع الاستهلاكية اليومية صغيرة، إلا أن السكان يشعرون بوضوح شديد.,استمرت أسعار السلع الاستهلاكية الصناعية، التي تشكل وزنًا كبيرًا في نظام مؤشر الأسعار، في الانخفاض.,د
"مع تطور الإنترنت، أصبح لدى الناس خيارات جديدة للتسوق. يحب العديد من الشباب اختيار المنتجات التي يرضون عنها على الإنترنت. يتم توصيلها إلى منازلهم عن طريق التسليم السريع. بناءً على ذلك، يعتقد البروفيسور ليو أن القدرة التنافسية لمراكز التسوق الفعلية تلك ستتأثر بالإنترنت. في المستقبل القريب، ستستبدل المتاجر عبر الإنترنت المتاجر الفعلية.
أي مما يلي، إذا كان صحيحًا، يمكن أن يضعف وجهة نظر البروفيسور ليو أكثر؟",على الرغم من أن التسوق عبر الإنترنت له راحة معينة ، إلا أنه من السهل التسبب في استخدام المجرمين للمعلومات الشخصية.,بعض المتاجر المتخصصة الراقية لا تريد أن تتبنى سوى أسلوب البيع في المتاجر المادية في الشارع.,المتاجر الإلكترونية وشركات التوصيل كثيرًا ما يلقى بعضها اللوم على البعض الآخر بشأن تعويض البضائع المفقودة أو التالفة.,عادةً، يمكن للمتاجر عبر الإنترنت أن تنجو فقط بدعم متاجرها المادية.,د
"متأثرين بالثقافات والقيم المتعددة، ارتفع معدل الطلاق بين سكان البلد أ بشكل كبير. وأظهر مسح حديث أن متوسط مدة الزواج في البلد أ هو 8 سنوات. وأعرب السيد زانغ عن أسفه لذلك، والآن أصبحت القصص الجميلة مثل زواج الماس، و الزواج الذهبي، و الشيخوخة أبيض الرأس نادرة. مفهوم الناس البسيط للحب والزواج قد ولّى إلى الأبد.
أي مما يلي صحيح هو على الأرجح يدل على أن فهم السيد زانغ غير دقيق؟",هناك العديد من الأسر التي تعيش في زواج سريع الآن، وهم في كثير من الأحيان يتزوجون ويطلقون في وقت قصير.,طول مدة الزواج لا يعني أن جودة الزواج عالية.,في الماضي، كان الزواج يتم ترتيبه أساسا من قبل الوالدين، والآن هو في الأساس الحب الحر.,على الرغم من قصر مدة الزواج، إلا أن الوقت الذي يقضيه الشباب في الوقوع في الحب أطول بكثير مما سبق.,أ
"شركة مجموعة لديها أربعة أقسام، تنتج الثلاجات، وأجهزة التلفزيون الملونة، وأجهزة الكمبيوتر، والهواتف المحمولة. وفقًا لإحصاءات الربع الأول، قدم مدراء الأقسام الأربعة التنبؤات التالية حول ربحية العام كاملاً لعام 2010؟ 1. مدير قسم الثلاجات؟ سيحقق قسم الهاتف المحمول ربحًا هذا العام. 2. مدير قسم التلفزيون الملون؟ إذا حقق قسم الثلاجات ربحًا هذا العام، فإن قسم التلفزيون الملون لن يحقق ربحًا. 3. مدير قسم الكمبيوتر؟ إذا لم يكن قسم الهاتف المحمول مربحًا هذا العام، فإن قسم الكمبيوتر ليس مربحًا. 4. مدير قسم الهاتف المحمول؟ سيحقق كلا من قسمي الثلاجات والتلفزيون الملون ربحًا هذا العام. بعد الانتهاء من إحصاءات العام كاملاً، تبين أن واحدًا فقط من هذه التنبؤات الأربعة كان مطابقًا للواقع.
بشأن ربحية أقسام الشركة للعام كاملاً، أي مما يلي قد يكون صحيحًا؟",قسم التلفزيون مربح، لكن قسم الثلاجات ليس مربحًا.,قسم الثلاجات مربح، لكن قسم الحواسيب غير مربح.,قسم الكمبيوتر مربح، لكن قسم تلفزيونات الألوان غير مربح.,لا قسم الثلاجات ولا قسم التلفزيون الملون حققا ربحا.,ب
"مع تطور التكنولوجيا الرقمية ، حدث تغيير ثوري في شكل تشغيل الصوت والفيديو.قبل الناس بسرعة بعض الأشكال الجديدة ، مثل MP3 و CD و DVD وما إلى ذلك.ومع ذلك ، لم يصل قبول الكتب الإلكترونية إلى المستوى الذي توقعه الخبراء ، ولا يزال هناك عدد كبير من القراء الذين يفضلون الاحتفاظ بالمنشورات الورقية.لا تزال الكتب الورقية تحتل مكانة مهمة في صناعة النشر.لذلك يقول بعض الناس أن الكتب قد تكون آخر معقل تحتاج التكنولوجيا الرقمية إلى اختراقه.
أي مما يلي هو أقل تفسير للظاهرة المذكورة أعلاه؟",الناس مصرون بشكل عنيد على تجربة قراءة الكتب الورقية المريحة ويحبون ملمس الورق.,القراءة على الشاشة ، سواء كانت شاشة أنبوب أشعة الكاثود ضخمة أو شاشة بلورية سائلة رقيقة وخفيفة ، ستجعل الناس يشعرون بعدم الارتياح.,لا يزال هناك بعض العشاق المتعصبين الذين يحبون جمع الكتب الكلاسيكية.,تكنولوجيا أجهزة عرض الكتب الإلكترونية ليست مثالية، وسرعة عرض الصور بطيئة.,ج
"في لعبة غو، كان المتسابق تشن هوا يضغط على مفاصله من وقت لآخر، والصوت الذي أحدثه أثر على تفكير خصمه. عندما أغلقت اللعبة، حذر الحكم تشن هوا بأنه إذا ضغط على مفاصله مرة أخرى وأحدث صوتا خلال اللعبة، سيتم اعتبار ذلك خرقا للقواعد. في هذا الصدد، قال تشن هوا أن ضغطه على مفاصله كان حركة عادية، ولم يكن مقصودا. لذلك، لا ينبغي أن يتم الحكم عليه بخرق القواعد.
أي مما يلي، إذا ثبت، سيكون أفضل دعم لتشن هوا في رده على الحكم؟",في هذه المسابقة، فتح الخصم وأغلق المروحة القابلة للطي من وقت لآخر، وكانت الأصوات تزعج تفكير تشين هوا.,في لعبة غو ، يمكن أن تصبح الإجراءات المتعمدة للاعبين أساسًا للعقوبة.,في هذه المنافسة، الخصم نفسه لم يعترض على تدخل تشين هوا.,تشين هوا دائمًا ما كان متعجرفًا، والحكم غير راضٍ عن ذلك منذ فترة طويلة.,ب
"تمثل تقنية 37.3D المجسمة المستوى المتطور لتكنولوجيا الأفلام الحالية. نظرًا للمصداقية العالية للفيلم ، فقد تصبح التيار السائد للأفلام المستقبلية. على الرغم من أن شخصيات الشاشة في أفلام 3D المجسمة يتم إنشاؤها بواسطة أجهزة الكمبيوتر ، إلا أن ""أداء"" شخصيات الكمبيوتر بما في ذلك الإجراءات والتعبيرات يعتمد على ""أداء"" الممثلين الحقيقيين ، تمامًا مثل تقنية المكياج في العصر الرقمي. وقد تسبب هذا أيضًا في قلق بعض الممثلين؟ مع تطور تكنولوجيا الكمبيوتر ، ستحل الصور والرسوم المتحركة التي تم إنشاؤها بواسطة الكمبيوتر محل العروض الحية في المستقبل.
أي مما يلي ، إذا كان صحيحًا ، يمكن أن يقلل بشكل أفضل من مخاوف الممثلين أعلاه؟
الإيرادات الكبيرة الحالية لشباك التذاكر لـ C. أفلام 3D المجسمة هي مجرد نتيجة لخطط الناس قصيرة المدى ، والمستقبل لا يزال مجهولاً.",جميع المخرجين السينمائيين يمكنهم فقط التواصل مع أشخاص حقيقيين، وليس مع أجهزة الكمبيوتر.,يعتمد تصوير أي فيلم على اختيار المنتج ، ويمكن للممثلين مواكبة تطور العصر.,,لا يمكن التعبير عن قصة الفيلم إلا بعقل الممثل ومشاعره، ولا علاقة للتعبير بها تفضيل المخرج.,د
"محامو Gongda Law Firm معروفون بفاعلية دفاعهم عن المتهمين في القضايا الجنائية، بمعدل نجاح يزيد عن 90%. لاو يو محامٍ مشهور بفضل دفاعه الناجح عن موكليه في قضايا الطلاق. لذلك، لا يمكن أن يكون لاو يو عضوًا في Gongda Law Firm.
أي مما يلي يشير بدقة إلى الثغرة في الحجة المذكورة أعلاه؟",قد لا تكون خصائص مكتب المحاماة غونغدا هي خصائص أعضائه بالضرورة.,لا يوجد مؤشر دقيق لمعدل نجاح دفاع لاو يو عن الأطراف في قضايا الطلاق.,لا يوجد مؤشر دقيق لمعدل نجاح لاو يو في الدفاع في القضية الجنائية.,لا يوجد مصدر لإحصائيات Gongda Law Firm.,أ
"اللغة الرسمية المستخدمة في البحث العلمي مختلفة جدا عن اللغة الطبيعية المستخدمة في الحياة اليومية.اللغة الرسمية تبدو مثل كتاب سماوي، بعيد عن الجمهور، وفقط بعض المحترفين يمكنهم فهمها واستخدامها.ولكن في الواقع، هذا فهم خاطئ.العلاقة بين اللغة الطبيعية واللغة الرسمية هي مثل العلاقة بين العين المجردة والمجهر.العين المجردة لها مجال رؤية واسع ويمكنها فهم المعلومات حول الأشياء ككل؛ المجهر يمكن أن يساعد الناس على رؤية التفاصيل والدقة في الأشياء، على الرغم من أن نطاق الرؤية معه صغير.لذلك، كل من اللغة الرسمية واللغة الطبيعية هما أداتان مهمتان للناس للتواصل وفهم المعلومات.إنهما أداة قوية عند استخدامها معا.
أي مما يلي، إذا كان صحيحا، يدعم أفضل الاستنتاج أعلاه؟","قد تصبح المحتويات التي يتم رؤيتها من خلال المجهر ""منظرًا طبيعيًا"" جديدًا، مما يشير إلى أن اللغة الرسمية يمكن أن تثري التعبير عن اللغة الطبيعية. يجب أن نولي اهتمامًا للغة الرسمية.",تمامًا كما يتم في النهاية ملاحظة المعلومات المعروضة تحت المجهر بالعين المجردة، يتم في النهاية إدراك المحتوى المعبر عنه في اللغة الرسمية من خلال اللغة الطبيعية، مما يشير إلى أن اللغة الطبيعية أكثر أساسية.,إذا تم التعبير عن النظرية العلمية باللغة الرسمية فقط ، فمن الصعب على الناس العاديين فهمها ؛ وبالمثل ، إذا تم التعبير عنها بلغة طبيعية فقط ، فقد تصبح مطولة ويصعب التعبير عنها بدقة.,أدى تطور العلم إلى تحسين الحياة اليومية للأشخاص العاديين بشكل كبير، ولكن الناس لا يدركون أهمية اللغة الرسمية، أساس التعبير العلمي.,ج
"سفينة شراعية عابرة للمحيطات تحمل خمسة صينيين وعدة أجانب انطلقت من الصين إلى أوروبا. في الطريق، عانى جميع الأشخاص ما عدا 5 أشخاص صينيين من الإنتان. في نفس القارب، كان الجميع يأكلون نفس الوجبات، وينامون في نفس المكان ويعبرون المحيط. لماذا يختلف الصينيون والأجانب بهذا الشكل؟ اتضح أن هؤلاء الأشخاص الصينيون الخمسة لديهم جميعًا عادة شرب الشاي، بينما الأجانب لا يشربون الشاي. لذلك تم الاستنتاج بأن شرب الشاي هو السبب في عدم إصابة هؤلاء الخمسة صينيين بالإنتان.
",أغلقت الشرطة على المشتبه به، ولكن من الحقائق المتوفرة حاليًا، لا يكفي لإثبات أنه قد ارتكب جريمة. خلصت فرقة العمل من هذا إلى أنه لا بد من وجود عامل مجهول يتربص خلف المشتبه به.,في حقلين من القمح مع نفس الظروف أساسا، يتم تطبيق سماد النيتروجين وسماد البوتاس على أحدهما، وتطبيق سماد البوتاسيوم فقط على الآخر. ونتيجة لذلك، كان إنتاج الحقل مع سماد النيتروجين وسماد البوتاسيوم أعلى بكثير من ذلك الحقل. ويمكن ملاحظة أن سماد النيتروجين هو السبب في زيادة إنتاجية حقل القمح.,"سُون وو كونغ؟ ""إن ضربت العظام، سيقرأ المعلم اللعنة. إذا لم تفعل، سيأكله الغول."" لا يسع سون ووكونغ إلا أن يستنتج؟ ""لا يزال علي العودة إلى هuاغuوشان.""",لاحظ علماء الفلك أن مدار كوكب أورانوس له خصائص أ، ب، وج. من المعروف أن الخصائص أ وب ناتجة عن جاذبية كوكبين أ وب، على التوالي، لذلك تم التكهن بوجود كوكب مجهول يسبب الخصائص المدارية لكوكب أورانوس ج.,ب
"طلاب جميع الجامعات الرئيسية هم طلاب أذكياء. بعض الطلاب الأذكياء يحبون التغيب عن المدرسة، ولا يحب Xiao Yang التغيب عن المدرسة؟ لذلك، Xiao Yang ليس طالبًا في جامعة رئيسية.
باستثناء أي من الخيارات التالية مشابه لشكل المنطق أعلاه؟",جميع الاقتصاديين يفهمون الاقتصاد، وبعض من يحبون مؤسسات الاستثمار يفهمون الاقتصاد. أنت لا تحب الاستثمار في الأعمال التجارية؛ لذلك، لست خبيرًا اقتصاديًا.,جميع الإوز تأكل الخضار، وبعضها يأكل الخضار والأسماك، والأرانب لا تأكل السمك؛ لذلك، الأرانب ليست إوزا.,جميع الناس يحبون الجمال. بعضهم أيضا يدرسون العلوم. أرسطو ليس شخصا عاديا؛ لذلك أرسطو لا يدرس العلوم.,جميع الطلاب المقبولين في الكليات والجامعات هم فوق خط درجات القبول، وبعضهم مرشحون أكبر سناً،  وشياو زانغ ليس مرشحًا أكبر سنًا؛  لذلك، شياو زانغ لم يتم قبولها في الكليات والجامعات.,ج
"وفقا لإحصاءات برنامج الأمم المتحدة الإنمائي في عام ٢٠٠٧، تعتبر النرويج أكثر البلدان تمتعا بأفضل مستوى معيشة في العالم، والبلدان المتقدمة مثل أوروبا والولايات المتحدة واليابان من بين الأفضل. وإذا أخذنا في الاعتبار البلدان التي تحسنت فيها جودة الحياة أكثر منذ عام ١٩٩٠، نجد أن البلدان المتقدمة قد تخلفت عن الركب. في ما لا يقل عن ١١٦ بلدا أحصاها برنامج الأمم المتحدة الإنمائي، تحسنت جودة الحياة في موزامبيق في جنوب شرق أفريقيا بأسرع وتيرة في ١٧ عاما. في عام ٢٠٠٧، ارتفع مؤشر جودة الحياة فيها بنسبة ٥٠٪ مقارنة بعام ١٩٩٠. حققت العديد من البلدان الأفريقية إنجازات مماثلة لموزامبيق. كأكثر البلدان النامية المرموقة في العالم، ارتفع مؤشر جودة الحياة في الصين أيضا بنسبة ٢٧٪ في السنوات الـ ١٧ الماضية.
أي مما يلي يمكن استنتاجه من إحصاءات برنامج الأمم المتحدة الإنمائي؟",في عام 2007، كانت مؤشرات جودة الحياة في البلدان النامية أقل من تلك الموجودة في البلدان الغربية.,في عام 2007 ، لم يكن مؤشر نوعية الحياة في موزمبيق أعلى من مثيله في الصين.,في عام 2006 ، لم يكن مؤشر نوعية الحياة في اليابان أعلى من مثيله في الصين.,في عام 2007 ، كان مؤشر جودة الحياة في النرويج أعلى منه في الدول الأفريقية.,د
"في اختبار القدرة المعرفية ، سجل ليو تشيانغ 118 نقطة ، وسجل جيانغ مينغ أعلى من وانغ لي ، وسجل زانغ هوا و ليو تشيانغ أكثر من جيانغ مينغ و وانغ لي ، سجل ليو تشيانغ أعلى من تشو مэй 120 نقطة في هذا الاختبار يعتبر ممتازًا ، واثنان من الخمسة ليسوا ممتازين.
بناءً على المعلومات أعلاه ، أي من الخمسة التالية هو الأعلى إلى الأدنى درجة في هذا الاختبار؟",زهانغ هوا، وانغ لي، زوو مي، جيانغ مينغ، ليو تشيانغ,"Zhang Hua, Jiang Ming, Wang Li, Liu Qiang, Zhou Mei -> 
زهانغ هوا، جيانغ مينغ، وانغ لي، ليو تشيانغ، تشو مэй 

The correct translation is:
زهانغ هوآ، جيانغ مينغ، وانغ لي، ليو تشيانغ، زو مэй 

So the translation is: 
زهانغ هوآ، جيانغ مينغ، وانغ لي، ليو تشيانغ، زو مэй","Zhang Hua, Jiang Ming, Liu Qiang, Wang Li, Zhou Mei -> 
زهانغ هوا، جيانغ مينغ، ليو تشيانغ، وانغ لي، تشو مэй
 Zhang Hua, Jiang Ming, Liu Qiang, Wang Li, Zhou Mei 
هو جوا، جيانغ مينغ، ليو تشيانغ، وانغ لي، زوو مي 

الترجمة الصحيحة هي: 
زهانغ هوا، جيانغ مينغ، ليو تشيانغ، وانغ لي، زهو مэй 

الإجابة: زهانغ هوا، جيانغ مينغ، ليو تشيانغ، وانغ لي، زهو مي",جيانغ مينغ، زانغ هوا، وانغ لي، ليو تشيانغ، تشو مэй,ب
"مؤخرا، قام مجموعة من كبار القادة بدراسة اتجاه التنمية. المدير العام وانغ يعتقد أنه من الضروري تطوير كل من تكنولوجيا النانو والتكنولوجيا الطبية الحيوية؟ نائب المدير العام زاو يعتقد أن تطوير تكنولوجيا الذكاء فقط يمكن أن يطور التكنولوجيا الطبية الحيوية؛ نائب المدير العام لي يعتقد أنه إذا تم تطوير تكنولوجيا النانو والتكنولوجيا الطبية الحيوية، فإنه يجب تطوير تكنولوجيا الذكاء. أخيرا، بعد البحث من قبل مجلس الإدارة، فقط واحد من الآراء يمكن اعتماده.
بناء على البيان أعلاه، أي مما يلي يتماشى مع قرار البحث للمجلس؟",تطوير تكنولوجيا النانو والتكنولوجيا الذكية، ولكن لا تطوير التكنولوجيا الطبية الحيوية.,تطوير التكنولوجيا الطبية الحيوية والتكنولوجيا النانوية، ولكن لا تطوير التكنولوجيا الذكية.,تطوير التكنولوجيا الذكية والتكنولوجيا الطبية الحيوية، ولكن لا تطوير تكنولوجيا النانو.,تطوير التكنولوجيا الذكية، ولكن لا تطوير تكنولوجيا النانو والتكنولوجيا الطبية الحيوية.,ب
"أشار أستاذ أجنبي مؤخرًا إلى أن الشخص الذي لديه وجه طفل يعني أنه سيتمتع بعمر أطول، لأن ظروف عيش الناس تنعكس بسهولة على وجهه. بدءًا من ربيع عام 1990، أجرى فريق بحث بقيادة الأستاذ اختبارات جسدية وإدراكية على 1826 توأمًا تزيد أعمارهم عن 70 عامًا والتقط صورًا لوجههم. بدون معرفة أعمارهم الدقيقة، قام ثلاثة مساعدين بحثيين أولاً بتقييم عمر التوائم في مختلف الفئات العمرية، ووجدوا أنه حتى بين التوائم، اختلفت الأعمار المقدرة بشكل كبير. ثم أمضى فريق البحث عدة سنوات في متابعة حياة التوائم اللاحقة حتى وفاتهم. تظهر الدراسة الاستقصائية أنه كلما زاد الفرق في عمر المظهر بين التوائم، زاد احتمال وفاة الأكبر سنًا أولاً.
أي مما يلي، إذا كان صحيحًا، يمكن أن يشكل أفضل دليل يفند استنتاج الأستاذ؟",إذا قمت بتوسيع نطاق المسح ليشمل التوائم فوق سن الأربعين، فقد تكون النتائج مختلفة.,مساعدو البحث الثلاثة صغار نسبيًا، ولم يشاركوا في البحث لفترة طويلة.,عمر المظهر هو تعبير مركز عن بيئة عيش كل فرد وظروفه المعيشية وعقليته ، وله علاقة قليلة بالشيخوخة الحياتية.,سبب شيخوخة الحياة هو أن انقسام الخلية يؤدي إلى الفقد المستمر لنهايات الكروموسومات.,ج
"نظرًا لأن المشروبات المحتوية على السكر تحتوي على سعرات حرارية عالية وتؤدي بسهولة إلى السمنة ، أصبحت المشروبات الخالية من السكر شائعة. بعد فترة من التحقيق ، يعتقد البروفيسور لي أنه على الرغم من انخفاض السعرات الحرارية في المشروبات الخالية من السكر ، فهذا لا يعني أنها لن تسبب زيادة الوزن. لأن المشروبات الخالية من السكر قد تؤدي إلى تفضيل كبير للحلويات ، وهذا يعني أنه قد يتم استهلاك المزيد من الأطعمة السكرية. علاوة على ذلك ، تحتوي المشروبات الخالية من السكر على القليل من التغذية. الإفراط في تناولها سيحد من تناول مشروبات صحية أخرى ، مثل الشاي والعصير.
أي مما يلي ، إذا كان صحيحًا ، يدعم وجهة نظر البروفيسور لي بشكل أفضل؟",الشاي هو مشروب تقليدي في الصين. إنه جيد للاستهلاك على المدى الطويل.,بعض الأشخاص النحيفين أيضًا يحبون شرب المشروبات الخالية من السكر.,بعض الناس البدينين يحبون الحلويات.,كثير من الناس الذين يعانون من السمنة يخبرون الطبيب أنهم غالبًا ما يشربون مشروبات خالية من السكر.,د
"مع ازدياد أهمية المعرفة الثقافية، يقضي الناس وقتًا أطول وأطول في القراءة، كما أن نسبة الطلاب الأدبيين المصابين بقصر النظر آخذة في الازدياد. حتى بين العمال الحضريين والمزارعين في البلدات، يمكن رؤية الكثير من الناس يرتدون نظارات قصر النظر. ومع ذلك، نادرًا ما يوجد طلاب أدبيون مصابون بقصر النظر في الصين القديمة، ناهيك عن عامة الناس.
باستثناء أي من العبارات التالية يمكن أن يفسر الظاهرة المذكورة أعلاه؟",في العصور القديمة، كان الناس ذوو الظروف أو المكانة الأسرية الجيدة فقط هم من يستطيعون تحمل تكاليف قراءة الكتب؛ حتى لو كانوا يدرسون، فإنهم قضوا وقتًا قصيرًا جدًا في القراءة، ونوع القراء الذين يحملون الكتب على الحزم ويقرأون تحت ضوء المخاريط كانوا نادرين.,في العصور القديمة، لم يكن النقل متطورا. كان السفر يعتمد بشكل رئيسي على المشي وركوب الخيل. والتمارين الكافية لها دور معين في الوقاية من قصر النظر.,القدماء لديهم وتيرة حياة بطيئة ولا يتعين عليهم القلق بشأن السلامة المرورية، لذلك حتى لو كانوا يعانون من قصر النظر، فإن الضرر ضئيل للغاية.,"كانت العلوم الطبيعية القديمة متخلفة. في ذلك الوقت، قرأ الطلاب عددًا قليلاً جدًا من الكتب، حيث كانوا يقرؤون بشكل رئيسي ""الكتب الأربعة والخمسة كلاسيكيات""، وكان كتاب ""مقولات كونفوشيوس"" سيستغرق قراءته عدة سنوات.",ج
"يعتقد أحد الوالدين أن الخيال وحده يمكن أن يقوم بعمل إبداعي، لكن الخيال والمعرفة أعداء طبيعيون. في عملية اكتساب المعرفة، سوف يختفي الخيال. لأن المعرفة منطقية، والخيال ليس له قواعد. بعبارة أخرى، فإن جوهر المعرفة هو العلم، وخاصية الخيال هي العبثية. لا يمكن لدماغ الإنسان أن يتحمل وجود نمرين في جبل واحد؛ في مرحلة ما قبل المدرسة، يهيمن الخيال، والدماغ مشغول بالخيال؛ بعد المدرسة، يتم طرد خيال معظم الناس من البلاد بواسطة المعرفة.
أي مما يلي يتعارض مع رأي الوالد أعلاه؟",إذا كنت تريد لأطفالك أن يكونوا مبدعين، فلا ترسليهم إلى المدرسة.,إذا تم الحصول على المعرفة الكافية، لا يمكن القيام بالعمل الإبداعي.,الأشخاص الذين يتوصلون إلى المعرفة لديهم خيال معين.,بعض الناس ليست لديهم خيال، ولكن بإمكانهم القيام بعمل إبداعي.,د
"قال رئيس شركة ذات مرة ""عندما ينتقدني الرئيس الحالي، لا أحب ذلك الشعور، لذلك لن أنتقد خلفي"".
أي مما يلي هو على الأرجح افتراض ملاحظات الرئيس؟",عندما واجه بنقد الرئيس، فإن خلفه ومشاعره ليسوا متطابقين بالضبط.,فقط عندما يكون خليفة الرئيس يحب أن ينتقد سوف ينتقد الخليفة.,إذا كان الرئيس يحب أن ينتقد، فإن انتقاد الرئيس السابق ليس استثناءً.,الرئيس لا يحب انتقاد خليفته، لكنه يحب انتقاد الآخرين.,ب
"اليوم، بعد 65 مليون سنة من انقراض الديناصورات، تواجه الأرض أزمة أخرى من الانقراض الجماعي. بحلول نهاية القرن العشرين، حوالي 20% من أنواع العالم قد انقرضت. في الوقت الحاضر، العديد من الأنواع النادرة مثل الباندا العملاقة، والنمور السيبيرية، والسلاحف البحرية من أمريكا الشمالية، والخشب الأحمر البرازيلي في خطر الانقراض. ثلاثة علماء قدموا تنبؤات حول هذا الموضوع. العالم الأول: إذا انقرضت الباندا العملاقة، فإن النمر السيبيري سيكون أيضا منقرضا؛ العالم الثاني: إذا انقرضت السلاحف البحرية في أمريكا الشمالية، فإن الخشب الأحمر البرازيلي لن يكون منقرضا؛ العالم الثالث: السلاحف البحرية في أمريكا الشمالية سوف تنقرض، أو النمور السيبيرية لن تنقرض؛
إذا كانت تنبؤات العلماء الثلاثة صحيحة، أي مما يلي يجب أن يكون خاطئا؟",سيصبح كل من الباندا العملاق والسلحفاة الأمريكية الشمالية منقرضين.,سيصبح الماهوجني البرازيلي منقرضاً، ولن ينقرض النمر السيبيري.,سيصبح كل من الباندا العملاقة والماهوجني البرازيلي منقرضين.,سيصبح الباندا العملاق منقرضًا، ولن ينقرض الماهوجني البرازيلي.,ج
"في بعض المدن، بسبب تجانس وقت العمل والراحة، وكثرة المركبات الآلية، يسهل تشكيل حركة المرور الصباحية والمسائية. ليس من السهل على المواطنين التنقل إلى العمل خلال ساعات الذروة. يرى الاستشاري اعتماد نظام تنقل في فترات زمنية مختلفة، أي يمكن لوحدات مختلفة التنقل في فترات زمنية مختلفة.
أي مما يلي صحيح هو الأكثر احتمالا لمنع اقتراح الاستشاري من تحقيق التأثير المنشود؟",تتعارض بعض ساعات العمل مع أوقات وجبات الموظفين، مما سيؤثر على متعتهم في الحياة وبالتالي يؤثر على حماسهم للعمل.,كثير من ساعات العمل لا يتم تنسيقها مع وقت العمل والراحة الطبيعي للموظفين. فهم بحاجة لفترة زمنية أطول للتكيف والتأقلم. ومن الصعب ضمان كفاءة العمل خلال هذه الفترة.,معظم العمل في العديد من الوحدات عادة ما يتطلب من الموظفين مناقشة بعضهم البعض والعمل معاً لإكمال.,عدد المركبات الآلية في المدينة آخذ في الازدياد باستمرار. حتى لو لم يكن في ذروة الصباح والمساء، يحدث ازدحام مروري من وقت لآخر.,د
"تظهر الإحصائيات أنه في السنوات الأخيرة، تحسنت بشكل كبير سلامة رحلات الطيران المدني. على سبيل المثال، كان عدد الحوادث الكارثية لكل مليون رحلة في بلد ما في عام 2008 هو 0.2، مقارنة بـ 1.4 في عام 1989. ومن إحصائيات هذه السنوات، أظهر المعدل العام لحوادث الطيران المدني الكارثية اتجاها تنازليا. وهذا يدل على أن السفر بالطائرة يصبح أكثر أمانا.
أي مما يلي لا يمكن أن يعزز الاستنتاج أعلاه؟","في السنوات الأخيرة، زادت احتمالية ""الهروب من الموت"" في حوادث الطائرات مقارنة بما سبق.",شركات الطيران الكبرى تولي اهتمامًا متزايدًا للتدريب على السلامة لأفراد الطاقم.,نظام مراقبة الحركة الجوية للطيران المدني أكثر كمالا.,على الرغم من أن تحطم الطائرة أمر فظيع، ولكن من الناحية الإحصائية، القيادة لا تزال أكثر خطورة بكثير.,د
"أظهرت بعض الدراسات الطبية أن المرضى الذين يعانون من الخرف السلوكي غالبًا ما يكون لديهم فائض من الألومنيوم في أنسجة المخ. في الوقت نفسه، أظهرت الدراسات الكيميائية أن مركب السيليكون يمكن أن يمتص الألومنيوم. بناءً على ذلك، يعتقد الدكتور تشين أن مركب السيليكون هذا يمكن استخدامه لعلاج الخرف السلوكي.
أي مما يلي هو الفرضية التي من المرجح أن يعتمد عليها الدكتور تشين؟",عادة ما يكون محتوى الألومنيوم في أنسجة المخ للمرضى الذين يعانون من الخرف السلوكي مرتفعًا جدًا، ولكن الكمية المحددة لن تتغير.,مركب السيليكون لن يسبب آثار جانبية أثناء امتصاص الألومنيوم.,الكمية المحددة من مركبات السيليكون المستخدمة لامتصاص الألومنيوم مرتبطة بعمر مرضى الخرف السلوكي.,الألومنيوم الزائد هو سبب الخرف السلوكي، والألومنيوم الموجود في أنسجة المخ للمرضى ليس نتيجة للخرف.,د
