observation_1,observation_2,hypothesis_1,hypothesis_2,label
كان تومي يعيش يومًا سيئًا.,كان لدى تومي أصدقاء جيدين.,أصدقاء تومي شجعوه.,أصدقاء تومي لم ينتبهوا إليه.,1
أراد جاي التصويت.,هذا حتى كبر وفعلها مرة أخرى.,لم يكن جاي متأكدًا من كيفية التصويت.,أقسم جاي أنه لن يصوت مرة أخرى.,2
لقد كنت متوترة للغاية قبل أول حفلة رقص لي في المدرسة المتوسطة.,الآن، هي لن تتحدث معي حتى.,لقد تقيأ موعدي علي.,لقد تقيأت في موعدي.,2
يحب ابن أخي البالغ من العمر أربع سنوات أن يوقظنا.,عندما صرخت، صرخ بيديه الباردتين.,اليوم كنتُ مستعدًا له. عندما دخل غرفتنا، قفزتُ منه ودغدغته.,كان يقفز على أذننا ليحصل على اهتمامنا.,1
كنت أحب أن أجعل زوجتي تضحك.,بدأت أجعلها تضحك مرة أخرى وأصبحت سعيدة!,وأصبحت زوجتي حزينة.,كان زوجي حزينًا لذلك اعتقدت أنني سأساعدها على التحسن.,1
كانت راشيل تطبخ العشاء.,ثم جمعت نفسها وبدأت في الاهتمام بالقطع.,أحرقت راشيل يدها.,قطعت إصبعها أثناء تقطيع الخضروات.,2
سام أحب الملابس المخططة.,بدأت في ارتداء الملابس المخططة كل يوم!,تلقت سام الكثير من الشكاوى بشأن ملابسها.,قررت الخروج وشراء الزي بأكمله.,2
رن هاتف جيمي في الفصل.,وعلى إثر ذلك، قامت باستدعاء حارس الأمن ليأخذه بعيدًا.,انتهى به الأمر إلى الوقوع في مشكلة.,تحدث جيمي على الهاتف ولم يتوقف، مما أسعد الأستاذ.,1
كانت كيلي تطبخ العشاء لوالديها لأول مرة.,ضحك الجميع وظلوا يمزحون بشأن هذا الأمر لسنوات.,لقد أفسدت الدجاج بشكل كبير وأحرقت البطاطس بشدة.,وكان عشاء كيلي لذيذًا.,1
كانت أمبر خائفة على مستقبلها.,لم تعد قلقة بشأن مستقبلها.,تحدثت أمبر مع مستشارها الأكاديمي.,تحدثت أمبر مع مستشارها النفسي.,1
لقد جاء يوم المباراة الكبيرة.,سجل تيري هدفين في ذلك اليوم وحقق لفريقه الفوز.,لقد تدرب تيري لفترة طويلة.,كان تيري كبيرًا جدًا.,1
سارة أرادت جروًا جديدًا بشدة.,لقد قفز حيوان الراكون ولم ترغب سارة في الحصول على حيوان مرة أخرى.,سارة كانت بالخارج تنظر إلى كلب جارها.,سارة كانت بالخارج تنظر إلى الملابس الداخلية لجارتها.,1
كانت مونيكا في المكتبة مع صديقها.,طردتهم لأنهم كانوا يتسكعون.,أحضر الأطفال الطعام وتركوا قمامتهم على طاولة القراءة.,لاحظت أمينة المكتبة أن مونيكا وصديقها كانا يتسكعان ويقرأان.,1
عندما تبلغ جين 10 سنوات تريد أن تضع الماكياج.,جين تتعلم درسها.,وضعت جين مكياج والدتها وظهرت وكأنها مهرج.,سمحت والدة جين لابنتها بوضع مكياجها بنفسها، لكن أصدقاء جين أثنوا عليها.,1
كل ليلة كان ينطلق صوت المنبه في منزل تيد.,اتضح أن قطة ضالة هي التي أطلقت الإنذار.,كان يركض خارجًا ولكن لم يكن هناك أحد.,لقد سئم تيد من الاستيقاظ، لذلك بقي مستيقظًا طوال الليل حتى غادر منزله.,1
كان نيل يحاول رؤية وحش بحيرة لوخ نيس أثناء رحلته إلى اسكتلندا.,قالوا أنهم لا يؤمنون بالوحش على الإطلاق!,لقد رأوا الوحش بأنفسهم.,سأل نيل السكان المحليين أين يمكن العثور عليه.,2
استيقظت في أحد الصباحات وخرجت لأخذ الصحيفة.,خرجت وأخذت جريدتي بسرعة.,لقد كان إعصارًا بالخارج.,لقد كان ممطرا ولم أكن أريد أن أبتل.,2
كان جيم متعبًا للغاية في أحد الصباحات.,وبعد أن استيقظ، رأى قدرًا يغلي على الموقد.,عرفت زوجة جيم أنه كان متعبًا وأعدت له القهوة.,جيم صنع وجبة الإفطار.,1
قامت العائلة بتحضير الطعام وتعبئته.,لقد كان لدى العائلة يومًا فظيعًا.,بعد النزهة، بدأ المطر بالهطول.,انفجر إطار سيارتهم وقضوا وقت نزهتهم في انتظار شاحنة السحب.,2
تيم لم يغلق نافذة حمامه أبدًا.,كان تيم سعيدًا لأنه أبقى النافذة مفتوحة.,تمكن تيم من اختراق النافذة.,لقد فقد تيم مفاتيح منزله.,2
لدى أحد أصدقاء العائلة مزرعة قديمة.,لا يستطيع أي كلب عاقل أن يطارد مجموعة من الذئاب البرية.,إن الأشخاص الذين يعيشون في المزرعة القديمة لديهم كلب لا يخاف من أي شيء.,هناك كلب عجوز في المزرعة فقد عقله وينبح طوال اليوم.,1
يحتاج أورين إلى كسب أموال إضافية للمدرسة.,يشعر أورين بالسعادة لأنه سيكسب أموالاً إضافية.,حصل أورين على وظيفة بدوام جزئي في توصيل البيتزا.,دخل وحصل على وظيفة بدوام جزئي.,1
كانت بيث عارضة أزياء في عرض أزياء في مدرستها.,لقد فقدت بيث العرض، ولم تتمكن من إخبار أي شخص بأنها لن تأتي.,لقد فقدت بيث الوعي بسبب الإفراط في الأكل.,خرجت بيث وكسرت هاتفها دون أن تتمكن من العودة إلى المنزل.,2
خلال الليل كانت هناك عاصفة رعدية ضخمة أدت إلى انقطاع التيار الكهربائي.,لقد تأخر الجميع وكان عليهم الإسراع.,أدرك الجميع أن الكهرباء انقطعت لفترة طويلة.,عندما استيقظت، تقلبتُ على سريري ورأيتُ المنبه يومض ليشير إلى الساعة السادسة، وعرفتُ حينها أنني فاتتني المقابلة.,2
أرادت أميليا أن تكون صديقة لكيكو.,لقد أراد كلاهما أن يكونا صديقين لبعضهما البعض!,لقد كانا خجولين للغاية، لكنهما انجذبا إلى بعضهما البعض دون أن يعرفا ذلك!.,ذهبت تحت لتقول مرحباً.,1
لقد تم طرد رجل من كل مسكن استطاع العثور عليه.,والآن أصبح بلا مأوى، والمجتمع بأسره أصبح أكثر فقراً بسبب ذلك.,فشل الرجل في الحصول على وظيفة، حتى وقت قريب.,وفي نهاية المطاف، استسلم الرجل للبحث.,2
زار تشاد أخته مؤخرًا لقضاء عيد الميلاد.,قرر تشاد أنه لن يأكل قطعة الكعكة.,تناول تشاد الكثير من الطعام في العشاء حتى أنه أصيب بحرقة في المعدة، ثم أحضرت أخته كعكة.,تشاد لم يأكل لأنه كان مصابًا بالأنفلونزا.,1
تحب العنبر القراءة.,ذهبت إلى المكتبة بدلا من ذلك.,أراد أصدقاء أمبر رؤيتها في المكتبة ليلةً ما.,أحبت أمبر وجود كتاب في يدها.,2
قرر ديف أن يغسل سيارة والده في نهاية هذا الأسبوع.,لم يكن والده غاضبًا لكنه أخبر ديف أن يكون حذرًا في المرة القادمة.,خدش ديف سيارة والده عن طريق الخطأ، لكنه أخبره.,كاد ديف أن يتسبب في إتلاف السيارة أثناء غسلها.,1
لقد أحبت كلوي الكتاب الذي كانت تقرأه.,لقد مرت ثلاث صفحات دون أن تتذكر ما قرأته.,في إحدى الليالي، كانت كلوي تشاهد التلفاز أثناء قراءتها لكتابها.,لم يتمكن الكتاب من جذب انتباهها.,2
لم يعد لدى مايك مساحة في الخزانة.,أدرك مايك أنه لم يكن لديه ما يكفي من الشماعات.,استمر مايك في الحصول على المزيد من الملابس.,اكتشف مايك أن الشماعات الزائدة تشغل معظم مساحة الخزانة.,1
أخذت مجرفة إلى الغابة ودفنت هدية عيد ميلاد أخي.,لقد استمتع كثيرًا، حتى أصبح الأمر الآن تقليدًا سنويًا!,لقد قمت بإعداد لعبة صيد كبيرة له ليصطاد فيها.,لقد تفاجأ أخي بعيد ميلاده.,2
كانت ميمي سيدة عجوز عندما التقيت بها.,من الصعب تصديق ذلك قليلاً نظرًا لأن طولها أقل من 5 أقدام!,قالت لي ميمي أنها كانت تلعب البلياردو.,قالت لي ميمي أنها كانت لاعبة كرة سلة مشهورة.,2
كان رجل يبحث عن تبني قطة جديدة.,لقد تبنى هذه القطة على الفور.,ذهب إلى متجر للحيوانات الأليفة ورأى قطة لطيفة.,لقد رأى الرجل قطة جميلة أحبته حقًا.,2
كانت رونا تجري أبحاثًا في مجال معالجة اللغة الطبيعية.,وجدت رونا أنها لذيذة، مع قليل من الفلفل وقليل من الملح.,لقد ذهبت إلى البحث لتوثيق النتائج التي توصلت إليها.,أخذت رونا استراحة من بحثها وقامت بإعداد بعض المعكرونة والجبن من ماركة كرافت.,2
كان أرنولد خائفًا من الأرانب.,أرنولد كاد أن يغمى عليه.,اقترب منه غزال.,والدة أرنولد صنعت حساء الأرنب لتناول العشاء.,2
أراد بيلي أن يصبح طبيبًا.,لقد كان مكتئبًا لدرجة أنه أصبح مدمنًا على الكحول.,وبدلًا من ذلك، أمضى حياته في مطاردة النساء وتعاطي المخدرات.,لقد ترك بيلي المدرسة.,2
كانت أختي في علاقة مفتوحة.,لقد تركته أختي.,لقد خانت أختي صديقها على أية حال.,لقد تركت أختي الشخص الذي كانت على علاقة مفتوحة معه.,2
لقد وعدتني أمي بأننا سنذهب إلى مطعم يوم الجمعة.,لقد اعتذرت عن عدم صدقها معي في الماضي.,لقد قالت نفس الشيء الأسبوع الماضي لذلك لم أصدقها.,لقد أجرينا أنا وأمي حديثًا مطولًا حول الحاضر.,1
كان ريك رجلاً مسنًا ولديه عائلة كبيرة.,لقد توفي وهو نائم وكان على وجهه ابتسامة.,لقد عاش ريك حياة حزينة ومملة.,زارت عائلة ريك ابنه عندما كان مريضًا.,2
لاحظ سيمون شاحنة متحركة أمام المنزل المجاور.,لقد كان معها طوال اليوم.,كانت صديقة سيمون آن تنتقل إلى مكان آخر.,كانت صديقة سيمون آن تنتقل للعيش معه.,1
صعدت المجموعة بأكملها من المراهقين إلى الطوافة.,لقد قضوا وقتًا رائعًا على النهر في ذلك اليوم.,لقد كانوا يتطلعون إلى الذهاب حول المنحدرات.,لقد أمضوا جميعًا اليوم كله في التجديف ثم عادوا إلى منازلهم.,2
عملت سارة بجد كمديرة مطعم.,تمكنت من ترك وظيفتها الإدارية.,ذهبت إلى المدرسة في الليل وحصلت على شهادة في برمجة الكمبيوتر.,سارة لم تربح شيئا في اليانصيب.,1
كانت آدا تقوم بإفراغ سلة المهملات في إحدى الليالي.,كان على آدا أن تلتقط كل القمامة من الأرض.,انكسرت الحقيبة عندما كانت آدا تخرج من الباب.,انفتح كيس القمامة من خلال ثقب في الأعلى.,1
كان ستيف قلقًا لأن فواتيره كانت تتراكم.,وبعد فترة وجيزة، أصبح ستيف قادرًا على سداد جميع فواتيره في الوقت المحدد وأصبح خاليًا من الديون.,كان ستيف يدفع الكثير من المال مقابل رسوم التأخير.,قرر ستيف الحصول على وظيفة بأجر أدنى.,1
كان بروس خائفا من الظلام.,كان بروس ممتنًا للغاية لدرجة أنه قام بتقبيل جيم على شفتيه!,طلب بروس من جيم تشغيل الأضواء.,وجد جيم ولاعة وأشعل له بعض الشموع.,1
لقد شعرنا جميعًا بالتعب بعد يوم طويل في مملكة السحر.,لقد اعتقدنا أننا سنكون قادرين على العودة في يوم آخر.,قررنا الرحيل.,لقد بقينا لمدة ثلاث ساعات إضافية من أجل المتعة.,1
قامت العائلة بتحضير الطعام وتعبئته.,لقد أمضت العائلة يوما جيدا.,لقد احتفظت العائلة به للحفلة في اليوم التالي.,ثم ذهبوا إلى نزهتهم ولكنهم تركوا الطعام في المنزل عن طريق الخطأ.,1
كانت سالي وسوزان تتطلعان إلى قضاء ليلة خارج المنزل.,لقد عادوا إلى شقتهم وشاهدوا الأفلام بدلاً من ذلك.,بعد ساعتين كان النادي فارغًا تقريبًا ولم يكن هناك أي أشخاص.,لم يكن لدى سالي المال للذهاب.,1
لقد أعطانا معلمي التعليمات الخاصة بمهمة التعاون.,ومع ذلك، أعطتني معلمتي الدرجة الكاملة بينما حصلت هي على علامة F.,لم يقم شريكي بأي عمل.,أنا وصديقي لم نقم بهذا المشروع معًا.,1
كان الزوجان ينتظران مولودًا بعد شهرين.,وافق الأب على أن هذا اسم عظيم.,اقترحت الأم تسمية الطفل على اسم صديق مقرب له اسم سيئ.,اقترحت الأم تسمية الطفل آرون.,2
لقد تسلق توم الجبل.,توم أزعج زوجته.,لقد بقي في رحلة المشي لمسافات طويلة لفترة أطول مما خطط له.,لقد فقد صبره مع كلبه أثناء الرحلة.,1
أراد بوبي البالغ من العمر ست سنوات الحصول على قطة بشدة.,توقف بوبي عن حب القطط بعد ذلك اليوم.,خدشت قطة الزقاق بوبي على يده.,صديق بوبي خدشه.,1
كان هارولد يصنع بعض القهوة قبل العمل.,اكتشف أن الحليب أصبح فاسدًا لدرجة أنه كان يتساقط منه قطع.,كان يحب الكريمة والسكر في قهوته.,أخذ هارولد عصير البرتقال من الثلاجة.,1
قررت إيمي تجربة إزالة شعر الحاجب بالشمع.,كانت إيمي سعيدة لأنها جربته لأنه كان أسرع من النتف.,قامت إيمي بإزالة الشعر بالشمع بسرعة.,اكتشفت إيمي أن الأمر لم ينجح معها.,1
عاشت ليلي في شقة قديمة ومبعثرة.,أخيرا قالت ليلي وداعا للشقة في يوم الانتقال!,قررت ليلي الانتقال إلى شقة قديمة.,وجدت ليلي شقة جديدة وقررت الانتقال للعيش خارجها.,2
كان نيل مسافرًا عبر آسيا.,لقد كان يرغب دائمًا في ممارسة رياضة ركوب الأمواج تحت شمس كاليفورنيا.,فكر نيل في السفر مرة أخرى.,قرر نيل أنه يحب آسيا كثيرًا لدرجة أنه بقي هناك.,1
كانت كيلي سعيدة بالحصول على هاتفها الجديد.,لقد أعطاها المتجر سعرًا عادلًا لإصلاحه.,كيلي كسر الهاتف على الشاشة.,كسر كيلي شاشة الهاتف.,2
جاء شقيق بيث، جيك، إلى منزلها للتحقق من الضوضاء.,نام جيك على الأريكة للحفاظ على سلامتها.,لم يتمكن جيك من العثور على مصدر الضوضاء لذا ظلت بيث خائفة.,كان جيك خائفًا من الذهاب للنوم بمفرده في المنزل.,1
كانت سام في فصلها الدراسي التاسع.,لقد انتهى بها الأمر بالرسم العشوائي حتى حان وقت المغادرة.,سام أصبح مللاً جداً.,وكان سام متحمسًا جدًا.,1
أراد مورغان إقامة حفل شاي.,تخطط مورجان بالفعل لحفلة الشاي الكبيرة القادمة.,كان أول حزب سياسي لمورغان لا ينسى!.,كان حفل الشاي الأول لمورغان لا ينسى!.,2
لقد وجدت اليوم ظرفًا بقيمة 600 دولار في البريد.,أنا غير أمين.,لقد تبرعت بكل الأموال للجمعيات الخيرية.,قررت الاحتفاظ به حتى لو لم يكن ملكي.,2
اشترت إليزابيث أربع أسماك من متجر الحيوانات الأليفة.,اضطرت إليزابيث إلى التبرع بالعديد من الأسماك إلى منازل جديدة.,كان حوض السمك الخاص بإليزابيث سمينًا جدًا.,لاحظت إليزابيث أن لديهم أطفالًا.,2
صديقة تينا كانت تصنع بعض الغواكامولي.,قررت تينا أن تصنعه بنفسها.,لقد أفسدت تينا الأمر حقًا.,راقبت تينا صديقتها. صديقتها لم تقشر الأفوكادو حتى.,2
يحب جريج كعك الكشافة.,إنه يشعر بالندم على الفور.,جريج يأكل عدد قليل جدًا من كعكات الكشافة.,جرّب جريج نكهة جديدة.,2
قرر جلين تجربة مطعم مكسيكي جديد.,لا داعي للقول بأن جلين كان راضيا عن تجربته الجديدة.,لقد كان رخيصًا ولذيذًا جدًا.,يقدم المطعم اللازانيا.,1
كان لدى جوني اعتراف أمام الكاهن.,قال الكاهن لجوني أن النساء يجعلوننا جميعًا خطاة.,أخبر جوني الكاهن عن كلب.,أخبر جوني الكاهن أنه خان زوجته.,2
أليك يعمل في معرض النهضة.,كان عليهم أن يجعلوا الأمر يبدو وكأنه جزء من الفعل.,قفز أليك أمام الجميع.,بدأ هاتف أليك بالرنين أثناء العرض.,2
أراد مات العودة بالزمن إلى الوراء.,لم ينجح أبدًا لأن السفر عبر الزمن ربما يكون مستحيلًا.,كان مات يعاني من مشكلة المخدرات لكنه قرر أن يحاول بناء آلة زمنية.,قام ببناء آلة الزمن وعاد إلى عام 1800.,1
في عام 2005، قمت بأول رحلة على متن قطار الملاهي منذ ثلاثين عامًا.,لقد كانت رحلة رائعة ولم أعد خائفة من الأفعوانيات.,وبما أن الأمر كان قريبًا جدًا، فقد كنت خائفًا بعض الشيء.,اعتقدت أنه سيكون مخيفًا جدًا وصاخبًا.,2
اليوم ذهبنا في رحلة بالطائرة.,لم أعد خائفة من الطائرات.,لقد أخذنا رحلة العودة إلى الوطن ولم يكن هناك أي اضطرابات.,أنا أحب الطائرات، لكننا أقلعنا وتحطمنا.,1
كل يوم ثلاثاء ألتقي بجدي لتناول القهوة.,انتهى وقت القهوة مبكرًا حتى يتمكن من العودة إلى المنزل وأخذ قيلولة.,وكان جدي نعسانًا.,لقد تعبت كثيرا.,1
كانت كايا بحاجة إلى شراء فستان جديد لحفل الربيع القادم.,لقد كان الأمر مكلفًا نوعًا ما ولكنها قررت أنه يستحق ذلك.,رأت كايا فستانًا فريدًا من نوعه يناسب تمامًا مناسبة الحفل الرسمي الربيعي.,ذهبت كايا للتسوق لشراء فستانها في متجر الدولار.,1
سو تحتاج إلى قص شعرها.,تذهب سو إلى المنزل وتبكي بسبب قصة شعرها.,لقد تم قص شعر سو لفترة طويلة جدًا.,ذهبت سو إلى مدرسة التجميل للحصول على قصة شعر.,2
سقطت شجرة في الفناء الخلفي لراي.,في كل مرة كان يفتح السقيفة كان يتلو القصيدة.,كان على راي أن يدخل المنشار الآلي إلى السقيفة، لكن كان من الصعب فتح الباب.,قام راي بتحويل الشجرة إلى منزل وكتب قصيدة.,1
كان تيموثي يحب الرقص.,أحب الجميع رقصه وفاز بالمسابقة.,انضم تيموثي إلى جلسة الرقص.,شارك تيموثي في ​​مسابقة الرقص.,2
حصل إيريك على هاتف محمول جديد.,ضحك المعلم كثيرًا لدرجة أنه لم يهتم بمعاقبة إيريك.,انطلقت نغمة رنين صوت إطلاق الريح لإيريك أثناء إطلاقه الريح.,رن هاتف إريك في الفصل.,2
استيقظت سارة مبكرًا للقيام بأعمالها المنزلية.,عاد زوج سارة إلى المنزل بالزهور لرفع معنوياتها.,بدأت سارة غسل الملابس عندما تعطلت الغسالة وحدث ماس كهربائي في المكنسة الكهربائية.,شعرت سارة بأنها الأكثر بهجة وسعادة منذ زمن.,1
سام كان يركب الحافلة.,وبعد فترة من الوقت، جعلته الموسيقى يسترخي تمامًا.,تجاوزت الحافلة الإشارة الحمراء واصطدمت بسيارة أخرى.,كان سام متوترًا بشأن رحلة الحافلة.,2
كان إيان في منزل صديقه.,كان على إيان أن يمشي إلى منزله في الظلام.,ركب سيارته إلى منزله بكل سرور. كان بحاجة إلى ممارسة الرياضة.,بقي إيان في منزل أصدقائه لفترة طويلة وكان الظلام دامسًا عندما غادر.,2
مزق ستو دمية البطريق الخاصة بأخته أثناء جدالها معها.,عندما ذهب إلى أخته، نسيت البطريق تمامًا.,لم يعتذر ستو.,اشترى ستو لأخته مجموعة كاملة من ألعاب البطريق المحشوة.,2
أراد بوب تناول الهامبرغر.,ذهب بوب إلى ماكدونالدز في وقت لاحق من ذلك المساء.,انتظر بوب بصبر وقاوم الرغبة في الطلب عبر الإنترنت.,لقد أسرع بوب وركض خارجًا ليذهب ليحصل على برجر.,1
اعتقد جون أنه كان أفضل لاعب ألعاب فيديو على الإطلاق.,أدرك جون أنه لم يكن جيدًا كما كان يعتقد.,تحدى جون بيني وخسر.,لقد خسر الكثير من الناس أمام جون في ألعاب الفيديو.,1
أخذ جوي طائرته الورقية إلى الحديقة.,لقد أمضى وقتًا رائعًا في طيران طائرته الورقية طوال فترة ما بعد الظهر!,كانت الرياح قوية والحديقة فارغة.,أطلق الخيط فطار الطائر بعيدًا.,1
أراد كريس تجربة الانضمام لفريق كرة القدم بالمدرسة.,كريس صنع فريق كرة القدم!,تدرب كريس قبل الاختبارات.,لقد حضر المدرب الاختبارات وأعجب كريس.,1
كان لدى رونالد صديقة اسمها ستيفاني.,لم يهتم رونالد، فقد كان يخطط لقتل ستيفاني لاحقًا.,كان رونالد يكره ستيفاني كثيرًا.,لقد أحبت ستيفاني رونالد كثيرًا.,2
ووصلوا إلى الحدود الشرقية للبرية عند الظهر.,قام زيك ببيع الصور إلى عيادات الأطباء مقابل مبلغ جيد من المال.,التقط زيك العديد من الصور للمناظر الطبيعية الجميلة.,التقط زيك مقاطع فيديو للحيوانات المحلية.,1
أليكس يحتاج إلى البقالة.,لقد اشترت البقالة.,ذهبت إلى متجر البقالة.,ذهب أليكس إلى متجر السيارات.,1
ذهب جو إلى دار السينما لمشاهدة الفيلم الجديد.,دخل جو إلى الفيلم بشكل عرضي وأطلق تنهدًا.,لم يكن لدى دار السينما تذاكر للفيلم الجديد.,كان جو مليئًا بالكثير من الطاقة.,1
كانت أودري خائفة من تجربة أطعمة جديدة.,لقد وقعت أودري في حب مطعمهم وطعامهم بشكل مفاجئ.,قررت أودري أن تستجمع شجاعتها لتجربة متجر جديد بالقرب من منزلها.,ذهبت أودري إلى مطعم ذو طراز جديد.,2
كان توني يصنع البيتزا في مطعمه.,أمسك توني بطفاية الحريق الخاصة به، وأطفأ النيران.,نسي توني البيتزا أثناء تحضير الدجاج، واحترقت وكان طعمها سيئًا حقًا.,وضع توني البيتزا في الفرن دون ضبط مؤقت. اشتعلت النيران في البيتزا بعد ساعة من الطهي.,2
جورج يكره الذهاب إلى المدرسة.,لقد كانت مستاءة للغاية وأخذت جورج إلى المنزل.,كان جورج يتغيب عن المدرسة طوال الوقت وكذب على سارة. الناس لا يحبون ذلك.,رفض جورج الخروج من الركوب المضاد في المدرسة.,1
اجتمع الجميع في عائلتي للاحتفال بعيد الشكر.,في نهاية المطاف لم نستطع أن نتوقف عن الجدال مع بعضنا البعض.,عائلتي كانت تختلف حول السياسة.,لم يكن أحدنا يتوافق جيدًا مع العائلة.,1
كيم يحب السباحة.,لقد وفرت ما يكفي من المال ولديها الآن حمام سباحة في الفناء الخلفي لمنزلها!,قرر كيم الحصول على حديقة خلفية.,حصلت كيم على وظيفة ثانية وأودعت جميع رواتبها في البنك.,2
جمع مات البلوط.,أعطى مات بكل سرور كل بلوطه للسنجاب الجائع.,كان هناك سنجاب يبحث عن الجوز بجوار مات.,رأى مات فتاة نحيفة.,1
كانت كاثي مسؤولة عن شراء البقالة.,الآن كاثي لا تذهب للتسوق أبدًا دون تخطيط وقائمة.,كانت تنسى الأشياء دائمًا.,لقد أنفقت كاثي الكثير من المال، ولا تزال تفعل ذلك.,1
كان إد يحب الشرب، لكنه كان يبالغ في كثير من الأحيان.,لم تلمس إد أي مشروب منذ ولادتها، قبل سبع سنوات.,لم يمانع إد واستمر في الشرب كل ليلة.,أراد إد أن يكون أبًا جيدًا عندما تولد ابنته.,2
رن الهاتف ورددت عليه.,هكذا تعرفت على والدتك.,لقد كان رقمًا خاطئًا وكان لديه صوت جميل.,لم تكن فتاة اسمها سارة.,1
حصل تروي على جرو من فصيلة الدانماركي العظيم يوم الجمعة الماضي.,لقد أمضى ساعات كل يوم في محاولة تدريبه منذ ذلك الحين.,وكان الجرو لطيفا للغاية.,مزق الجرو الوسائد ودمر طائرته النموذجية.,2
كان جريج في المنزل يشعر بالملل.,كان جريج سعيدًا لأنه لم يعد يشعر بالملل بعد الآن.,جاء صديق جريج ليدعوه إلى محاضرة في الفصل.,قرر جريج أن يذهب لشراء لعبة فيديو.,2
وكان بيلي يبلغ من العمر خمس سنوات.,حصل بيلي على ربع دولار من جنية الأسنان.,خلع بيلي أحد أسنانه.,وأخيرا حصل على سنه الأول.,1
كانت ريتا تواجه وقتًا صعبًا للغاية في العمل.,تحسنت علاقاتهم.,لفترة من الوقت، كان زميلها في العمل يشكل تحديًا لها.,لفترة من الوقت، تواصل معها زميلها في العمل وساعدها.,1
لقد تساقطت الثلوج في الليلة السابقة.,وبعد ذلك، تمكن من الرجوع بسيارته بنجاح.,كان على جون أن يقوم بتنظيف الطريق من المطر.,حفر بوب سيارته من الثلج.,2
واجه غاري صعوبة في شرب كمية كافية من الماء طوال اليوم.,قرر التخلص من المنبه.,حاول استخدام جهاز استقبال لتذكيره.,كان الأمر بمثابة مهمة شاقة بالنسبة لجاري أن يشرب كوبًا من الماء في كل مرة ينطلق فيها المنبه.,2
لقد ذهبنا للتخييم في الوقت المحدد عندما كنت أصغر سنا.,لقد حرصنا على عدم العودة إلى هناك مرة أخرى.,حاولت حشرة الدخول إلى خيمتنا أثناء نومنا.,ولكن لم تكن الأوقات دائما ممتعة.,2
سام أحب وجبة الإفطار.,قرر سام عدم تناول الوافلز مرة أخرى.,صنع سام فطائره وكان عليه أن يأكل الكثير منها في ذلك الصباح.,سام أحرق الوافلز عن طريق الخطأ.,2
جو سرق بنكًا.,وسرعان ما تم القبض على جو.,ولم يتصل العمال بالشرطة.,حاول جو الهروب.,2
لقد فقدت جين كلبها.,كانت جين سعيدة ومتحمسة.,أحدهم يخفي الكلب عنها.,ثم وجدت جين كلبها.,2
ذات يوم غطى الثلج والجليد الأرض.,لحسن الحظ أن جيمي كان بخير.,لم يلاحظ جيمي ذلك وانزلق على الجليد.,كان جيمي حريصًا على عدم الانزلاق على الثلج والجليد.,1
في أحد أيام السبت صباحًا من فصل الربيع، قمت بالتحضير للعب الجولف مع الشباب.,عندما زرته في المستشفى قالت الممرضة أنه سيكون بخير.,لقد أصيب صديقي في رأسه بسبب سقوط بلوط.,لقد أصيب صديقي بكرة ذهبية في رأسه.,2
آن أحبت الكعكة.,دخلت آن وشاهدت كيف يتم صنع الكعك.,سمح الخباز المحلي لآن بالدخول إلى الورشة للقيام بجولة.,لقد مرت بمحل لبيع اللحوم في أحد الأيام.,1
يقرر ماكس أنه ينفق الكثير من المال على شراء الطعام في المطاعم.,إنه سعيد جدًا لأنه يوفر المال عن طريق الطبخ في المنزل.,وجد ماكس بعض الوصفات الرائعة للطهي في المنزل.,يبدأ ماكس في تعلم كيفية قيادة السيارة ذات ناقل الحركة اليدوي.,1
هناك مرحلتين لبناء الجسم.,يبدو أنه إذا قمت بهذين الأمرين فسوف تبدو مذهلاً.,لا نحتاج إلى نظام غذائي جيد، فقط ممارسة الرياضة.,من المهم أن تعمل على كلتا المرحلتين.,2
كان روبي مرتبكًا بشأن واجباته المنزلية.,شعر روبي بالوحدة وجلس ليبكي.,استمر روبي في الحصول على إجابات رياضية مختلفة لنفس المشكلة.,ظل روبي مستيقظًا طوال الصباح ولم يتمكن من إنهاء الأمر.,1
أراد لويس أن يكسب المال عندما يكبر.,والآن لديه وظيفة ذات أجر جيد وعائلة لطيفة.,تمسك شقيق لويس بأهدافه في الحياة.,التحق لويس بالجامعة ودرس بجد.,2
كان توم يبحث في مخزنه عن وجبة خفيفة.,زحفت الحشرة بعيدًا وفقد توم شهيته.,لقد رأى حشرة ضخمة تزحف بالقرب منه، وهو يكره الحشرات.,وجد توم جوز الهند، لكنه لاحظ أنه يحتوي على ثقب دودي.,1
فقدت ديبي والدتها عندما كانت ديبي تبلغ 15 عامًا فقط.,عاشت ديبي حياة طويلة ومثمرة مع زوجها وأولادها الأربعة.,ديبي التقت برجل.,لقد تخطت ديبي موتها.,1
اليوم كان أول يوم دراسي.,انا اكره المدرسة.,لقد كان معلمي سيئًا وكان الطلاب الآخرون يضحكون من قميصي.,لقد حاولت صنع التاكو، لكن يبدو أن أحداً لم يعجبه.,1
اقتربت من الجسر في المطر، ودارت حول المنحنى.,لقد أدركت حقًا في ذلك اليوم مدى جودة بناء هذا الجسر!,لقد كاد أن يغادر سيارتي ولكن توقفت قبل العبور.,انزلقت فجأة واصطدمت بجانب الجسر.,2
