input,golds,options,preds,probs
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: سارت ثورة ٢٣ يوليو ١٩٥٢م علي خطي محمد علي في...........
أ- محاولة تحقيق الاكتفاء الذاتي من الأسلحة
ب- بناء السدود لمواجهة خطر الفيضان
ج- منح المرأة حقوقا سياسية وادارية
د- اشتراك العال في الارباح

إجابة: ",0,"['أ- محاولة تحقيق الاكتفاء الذاتي من الأسلحة', 'ب- بناء السدود لمواجهة خطر الفيضان', 'ج- منح المرأة حقوقا سياسية وادارية', 'د- اشتراك العال في الارباح']",د,[0.03706129 0.13122673 0.36838073 0.46333128]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تختلف معاهدة ١٩٣٦م بين مصر وبريطانيا عن تصريح ٢٨ فبراير ١٩٢٢م في..........
أ- إعطاء مصر استقلال حبر علي ورق
ب- استمرار تدخل بريطانيا في شئون مصر
ج- موافقة الحكومة المصرية علي كل منهما
د- اعتراف المنظمة الدولية باستقلال مصر

إجابة: ",3,"['أ- إعطاء مصر استقلال حبر علي ورق', 'ب- استمرار تدخل بريطانيا في شئون مصر', 'ج- موافقة الحكومة المصرية علي كل منهما', 'د- اعتراف المنظمة الدولية باستقلال مصر']",د,[0.01193796 0.29634574 0.22209878 0.46961758]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تضمن دستور ١٩٢٣م عدة تناقضات............
أ- قضائية
ب- تنفيذية
ج- تشريعية
د- إدارية

إجابة: ",2,"['أ- قضائية', 'ب- تنفيذية', 'ج- تشريعية', 'د- إدارية']",ب,[0.0090921  0.5038278  0.27191707 0.215163  ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ""تلاقت افكار بعض الشخصيات السياسية مع الحلفاء أثناء الحرب العالمية الثانية ""حدد اي من الشخصيات التالية تنطبق عليها العبارة السابقة.......
أ- فؤاد الاول ومحمد الخامس
ب- جمال عبد الناصر ونور السعيد
ج- مصطفي النحاس ومحمد الخامس
د- سعد زغلول وبكر صدقي

إجابة: ",2,"['أ- فؤاد الاول ومحمد الخامس', 'ب- جمال عبد الناصر ونور السعيد', 'ج- مصطفي النحاس ومحمد الخامس', 'د- سعد زغلول وبكر صدقي']",د,[0.04434482 0.2454197  0.21991979 0.49031562]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: نتعلم من دروس الحياة اذا ( لاحظت ان رجال الإطفاء لا يكافحون النار بالنار ) الحدث التاريخي الذي تنطبق عليه العبارة...........
أ- اصرار العرابيين علي مناقشة الميزانية ١٨٨٢م
ب- قمع الانجليز للثوار المصريين ١٩١٩م
ج- لجوء المصريين للإضراب العام عام ١٩١٩م
د- سعي عباس حلمي الثاني للإنفراد بحكم مصر عام ١٩١٩

إجابة: ",2,"['أ- اصرار العرابيين علي مناقشة الميزانية ١٨٨٢م', 'ب- قمع الانجليز للثوار المصريين ١٩١٩م', 'ج- لجوء المصريين للإضراب العام عام ١٩١٩م', 'د- سعي عباس حلمي الثاني للإنفراد بحكم مصر عام ١٩١٩']",د,[0.01638796 0.08411708 0.27941915 0.6200758 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ترتب علي هزيمة الدولة العثمانية في الحرب العالمية الاولى في جانب دول الوسط بالنسبة لمصر.............
أ- تغيير الوضع السياسي لمصر
ب- إعلان الروابط الوطنية
ج- بدء المفاوضات مع بريطانيا
د- إعلان بريطانيا الأحكام العرفية

إجابة: ",1,"['أ- تغيير الوضع السياسي لمصر', 'ب- إعلان الروابط الوطنية', 'ج- بدء المفاوضات مع بريطانيا', 'د- إعلان بريطانيا الأحكام العرفية']",د,[0.01331425 0.2597177  0.31496382 0.4120042 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: يتمثل وجه الاختلاف بين لجنة بيل في فلسطين ولجنة ملنر في مصر..........
أ- منح الشعوب حق تقرير مصيرها
ب- في شكل كل منهما في تحقيق اهدافها
ج- الموقف من التباحث مع كل منهما
د- سياسة تقنين الأمر الواقع

إجابة: ",2,"['أ- منح الشعوب حق تقرير مصيرها', 'ب- في شكل كل منهما في تحقيق اهدافها', 'ج- الموقف من التباحث مع كل منهما', 'د- سياسة تقنين الأمر الواقع']",ج,[0.03124729 0.21431008 0.46370244 0.29074016]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ( وقفت الحركة الوطنية في مصر إزاء الانجليزعلي طرفي نقيض ) أي من الأحداث التاريخية التالية تنطبق عليها العبارة...........
أ- معاهدة الصداقة والتحالف
ب- تشكيل لجنة دستور ١٩٢٣م
ج- بدء المرحلة الليبرالية
د- مفاوضات سعد / ملنر

إجابة: ",3,"['أ- معاهدة الصداقة والتحالف', 'ب- تشكيل لجنة دستور ١٩٢٣م', 'ج- بدء المرحلة الليبرالية', 'د- مفاوضات سعد / ملنر']",د,[0.00587886 0.1951913  0.23341207 0.5655178 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تشابهت وزارة الثورة ١٨٨٢م مع وزارة الشعب ١٩٢٤م في............
أ- تشكيل كل منهما بعد انتخابات شعبية
ب- تمصير الإقتصاد المصري في كل منهما
ج- تشجيعهما للحركة الوطنية في السودان
د- استقالة كل منهما بعد تدخل خارجي

إجابة: ",3,"['أ- تشكيل كل منهما بعد انتخابات شعبية', 'ب- تمصير الإقتصاد المصري في كل منهما', 'ج- تشجيعهما للحركة الوطنية في السودان', 'د- استقالة كل منهما بعد تدخل خارجي']",د,[0.01346043 0.2638549  0.2403361  0.48234853]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ظهور العوار التشريعي في المرحلة الليبرالية بعد تصريح ٢٨ فبراير ١٩٢٢ممن خلال............
أ- اجراء انتخابات لتشكيل حكومة نيابية
ب- حق الملك في إقالة الوزارة رغم شعبيتها
ج- نزع ملكية الأفراد للمنفعة العامة بعد تعويضهم
د- مسئولية الوزارة امام البرلمان وليس امام الملك

إجابة: ",1,"['أ- اجراء انتخابات لتشكيل حكومة نيابية', 'ب- حق الملك في إقالة الوزارة رغم شعبيتها', 'ج- نزع ملكية الأفراد للمنفعة العامة بعد تعويضهم', 'د- مسئولية الوزارة امام البرلمان وليس امام الملك']",د,[0.03067269 0.26746902 0.32476392 0.37709436]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تميزت الحركة الوطنية آواخر القرن ال١٩ واوائل القرن ال٢٠ برغبتها في..........
أ- تكوين دولة مستقلة
ب- الإستقلال عن الدولة العثمانية
ج- الإستقلال عن الانجليز
د- الحفاظ علي الأحوال الإجتماعية

إجابة: ",0,"['أ- تكوين دولة مستقلة', 'ب- الإستقلال عن الدولة العثمانية', 'ج- الإستقلال عن الانجليز', 'د- الحفاظ علي الأحوال الإجتماعية']",د,[0.03246595 0.19192603 0.36500406 0.41060394]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: رغبة المصريين في البقاء تحت سلطة الدولة العثمانية قبل الحرب العالمية الاولى يرجع لأسباب..........
أ- سياسية
ب- ثقافية
ج- إجتماعية
د- دينية

إجابة: ",3,"['أ- سياسية', 'ب- ثقافية', 'ج- إجتماعية', 'د- دينية']",د,[0.02821441 0.3415062  0.27620327 0.35407615]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: كانت الحرب العالمية الاولى فرصة لإنجلترا من أجل إستغلال.........في مصر
أ- الناحية السياسية
ب- الناحية الاقتصادية
ج- الناحية الاستراتيجية
د- الناحية الاجتماعية

إجابة: ",0,"['أ- الناحية السياسية', 'ب- الناحية الاقتصادية', 'ج- الناحية الاستراتيجية', 'د- الناحية الاجتماعية']",د,[0.02465223 0.18638074 0.38492724 0.4040398 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ساعد فرض الحماية البريطانية علي مصر علي إستغلال الجانب...........
أ- المالي
ب- السياسي
ج- الإقتصادي
د- الإجتماعي

إجابة: ",2,"['أ- المالي', 'ب- السياسي', 'ج- الإقتصادي', 'د- الإجتماعي']",ج,[0.0570264  0.21001649 0.40068075 0.3322764 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: عملت مبادىء الرئيس الامريكي ويلسون علي جذب الشعوب لتحقيق أغراض..........
أ- سياسية
ب- إجتماعية
ج- اقتصادية
د- ثقافية

إجابة: ",0,"['أ- سياسية', 'ب- إجتماعية', 'ج- اقتصادية', 'د- ثقافية']",ج,[0.02765911 0.24924105 0.50524074 0.2178591 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من أسباب تدهور الحياة الفكرية في مصر أثناء الحرب العالمية الأولى..........
أ- فرض الأحكام العرفية
ب- إتباع سياسة الجلنزة
ج- التدهور الإقتصادي
د- التدهور الإجتماعي

إجابة: ",0,"['أ- فرض الأحكام العرفية', 'ب- إتباع سياسة الجلنزة', 'ج- التدهور الإقتصادي', 'د- التدهور الإجتماعي']",ج,[0.01923072 0.1487842  0.54937696 0.28260818]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ظهر مفهوم القومية المصرية............
أ- قبل الحرب العالمية الأولى
ب- خلال الحرب العالمية الأولى
ج- بعد الحرب العالمية الأولى
د- قبل نهاية الحرب العالمية الأولى

إجابة: ",2,"['أ- قبل الحرب العالمية الأولى', 'ب- خلال الحرب العالمية الأولى', 'ج- بعد الحرب العالمية الأولى', 'د- قبل نهاية الحرب العالمية الأولى']",ب,[0.01954433 0.37773287 0.3394369  0.26328593]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: بدأت المرحلة الليبرالية في مصر بعد..........
أ- تصريح ٢٨ فبراير ١٩٢٢م
ب- معاهدة ١٩٣٦م
ج- دستور ١٩٢٣م
د- مؤتمر الصلح ١٩١٩

إجابة: ",2,"['أ- تصريح ٢٨ فبراير ١٩٢٢م', 'ب- معاهدة ١٩٣٦م', 'ج- دستور ١٩٢٣م', 'د- مؤتمر الصلح ١٩١٩']",ج,[0.02572468 0.3721788  0.42949766 0.1725989 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ساعدت المرحلة الليبرالية في مصر خلال القرن العشرين علي...........
أ- تطور الحياة السياسية والدستورية
ب- ظهور القومية العربية
ج- ظهور القومية المصرية
د- ظهور الوحدة الإسلامية

إجابة: ",0,"['أ- تطور الحياة السياسية والدستورية', 'ب- ظهور القومية العربية', 'ج- ظهور القومية المصرية', 'د- ظهور الوحدة الإسلامية']",د,[0.01971244 0.13856514 0.26307887 0.57864356]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من أهم الأسباب التي أعطت بريطانيا الحق في التدخل في شئون مصر الداخلية...........
أ- سياسية ودينية
ب- سياسية وإجتماعية
ج- دينية وثقافية
د- سياسية واقتصادية

إجابة: ",0,"['أ- سياسية ودينية', 'ب- سياسية وإجتماعية', 'ج- دينية وثقافية', 'د- سياسية واقتصادية']",د,[0.0166688  0.30414206 0.2857082  0.39348096]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: سقطت فكرة الجامعة العربية مع سقوط..........
أ- بلاد الشام
ب- بلاد الحجاز
ج- الدولة العثمانية
د- الدولة البلشفية

إجابة: ",2,"['أ- بلاد الشام', 'ب- بلاد الحجاز', 'ج- الدولة العثمانية', 'د- الدولة البلشفية']",د,[0.04228473 0.11016632 0.40018284 0.44736618]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: عرفت وزارة ............بأول وزارة دستورية
أ- محمد محمود
ب- علي ماهر
ج- زيوار باشا
د- سعد زغلول

إجابة: ",3,"['أ- محمد محمود', 'ب- علي ماهر', 'ج- زيوار باشا', 'د- سعد زغلول']",د,[0.04287889 0.23214711 0.3173831  0.40759096]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من إنجازات وزارة الشعب عام ١٩٢٤ تشجيع الحركة الوطنية في............
أ- ليبيا
ب- العراق
ج- الجزائر
د- السودان

إجابة: ",3,"['أ- ليبيا', 'ب- العراق', 'ج- الجزائر', 'د- السودان']",د,[0.03079599 0.14363493 0.17585702 0.6497121 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من إنجازات ثورة ٢٣ يوليو ١٩٥٢م في المجال السياسي............
أ- التصدي للأحلاف العسكرية
ب- رفض سياسة الاستعمار الغربية
ج- تمصير البنوك المصرية
د- الغاء دستور ١٩٢٣م

إجابة: ",3,"['أ- التصدي للأحلاف العسكرية', 'ب- رفض سياسة الاستعمار الغربية', 'ج- تمصير البنوك المصرية', 'د- الغاء دستور ١٩٢٣م']",ج,[0.01987536 0.25429916 0.5053168  0.22050868]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تأثرت مواعيد قيام الضباط الأحرار بالثورة بالعوامل............
أ- السياسية
ب- الإجتماعية
ج- الثقافية
د- الإقتصادية

إجابة: ",0,"['أ- السياسية', 'ب- الإجتماعية', 'ج- الثقافية', 'د- الإقتصادية']",ج,[0.05683999 0.2248138  0.4874714  0.23087475]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: قامت ثورة ٢٣ يوليو ١٩٥٢م في عهد وزارة.............
أ- علي ماهر
ب- أسماعيل بك شريف
ج- احمد نجيب الهلالي
د- مصطفي النحاس

إجابة: ",2,"['أ- علي ماهر', 'ب- أسماعيل بك شريف', 'ج- احمد نجيب الهلالي', 'د- مصطفي النحاس']",أ,[0.3357054  0.17391005 0.31740147 0.17298308]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تدل طريقة تنظيم الضباط الأحرار داخل الجيش علي............
أ- التخطيط الجيد
ب- ضعف أجهزة الأمن
ج- ضعف نفوذ الملك
د- الضعف الأمني

إجابة: ",0,"['أ- التخطيط الجيد', 'ب- ضعف أجهزة الأمن', 'ج- ضعف نفوذ الملك', 'د- الضعف الأمني']",د,[0.01643768 0.23913771 0.28393325 0.4604913 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من أهم الأحداث التي ساهمت في تشكيل تنظيم الضباط الأحرار..........
أ- السياسية
ب- الإجتماعية
ج- الثقافية
د- الإقتصادية

إجابة: ",0,"['أ- السياسية', 'ب- الإجتماعية', 'ج- الثقافية', 'د- الإقتصادية']",د,[0.02587665 0.12160797 0.37491843 0.477597  ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: صدر بيان ثورة ٢٣ يوليو ١٩٥٢م من أجل..........
أ- جذب الأجهزة الأمنية
ب- جذب باقي الشعب والجيش المصري
ج- جذب الشعب المصري فقط
د- الاعلان عن قيام الجمهورية

إجابة: ",1,"['أ- جذب الأجهزة الأمنية', 'ب- جذب باقي الشعب والجيش المصري', 'ج- جذب الشعب المصري فقط', 'د- الاعلان عن قيام الجمهورية']",د,[0.00776254 0.12610543 0.21400705 0.65212494]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: كانت مبادئ ثورة ٢٣ يوليو ١٩٥٢م تقوم علي العوامل...........
أ- السياسية والثقافية
ب- الثقافية والاجتماعية
ج- الاقتصادية والثقافية
د- الاجتماعية والسياسية

إجابة: ",3,"['أ- السياسية والثقافية', 'ب- الثقافية والاجتماعية', 'ج- الاقتصادية والثقافية', 'د- الاجتماعية والسياسية']",ج,[0.02416812 0.2838995  0.6130568  0.07887559]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ادي تدخل الملك في مجلس إدارة نادي الضباط الي.............
أ- خضوع الضباط الأحرار
ب- فقدان الملك السيطرة علي الجيش
ج- فشل تنظيم الضباط الأحرار
د- فشل ثورة ٢٣ يوليو ١٩٥٢م

إجابة: ",1,"['أ- خضوع الضباط الأحرار', 'ب- فقدان الملك السيطرة علي الجيش', 'ج- فشل تنظيم الضباط الأحرار', 'د- فشل ثورة ٢٣ يوليو ١٩٥٢م']",د,[0.00588702 0.11136932 0.15250614 0.73023754]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: اتخذ تنظيم الضباط الأحرار في بدايته شكل السرية لأسباب...........
أ- إقتصادية وامنية
ب- إجتماعية ودينية
ج- تنظيمية وأمنية
د- تنظيمية وإجتماعية

إجابة: ",2,"['أ- إقتصادية وامنية', 'ب- إجتماعية ودينية', 'ج- تنظيمية وأمنية', 'د- تنظيمية وإجتماعية']",ج,[0.01003229 0.33068183 0.46448523 0.1948007 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من العوامل التي ساعدت الشعب المصري علي تقبل ثورة ٢٣ يوليو ١٩٥٢م..........
أ- وجود حياة دستورية
ب- التدهور الإجتماعي
ج- التدهور السياسي والإجتماعي
د- ضعف مكانة الملك فاروق

إجابة: ",2,"['أ- وجود حياة دستورية', 'ب- التدهور الإجتماعي', 'ج- التدهور السياسي والإجتماعي', 'د- ضعف مكانة الملك فاروق']",د,[0.01186975 0.3085713  0.22909783 0.4504611 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: قامت ثورة ٢٣ يوليو ١٩٥٢م في عهد وزير الحربية...........
أ- علي ماهر
ب- فؤاد سراج الدين
ج- عبد الحكيم عامر
د- اسماعيل بك شيرين

إجابة: ",3,"['أ- علي ماهر', 'ب- فؤاد سراج الدين', 'ج- عبد الحكيم عامر', 'د- اسماعيل بك شيرين']",د,[0.07108348 0.32973656 0.14048849 0.4586915 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: أصدر الدستور الدائم لمصر..........
أ- جمال عبد الناصر
ب- محمد أنور السادات
ج- محمد نجيب
د- علي ماهر

إجابة: ",1,"['أ- جمال عبد الناصر', 'ب- محمد أنور السادات', 'ج- محمد نجيب', 'د- علي ماهر']",ج,[0.05620803 0.27775666 0.5441574  0.12187791]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تم تأميم شركة قناة السويس عام ١٩٥٦م من أجل أغراض............
أ- عسكرية
ب- إقتصادية
ج- إجتماعية
د- إستراتيجية

إجابة: ",3,"['أ- عسكرية', 'ب- إقتصادية', 'ج- إجتماعية', 'د- إستراتيجية']",د,[0.05851795 0.28757757 0.24621873 0.4076857 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: كان الغرض من مشروع أنشاء السد العالي تحقيق أهداف..........
أ- إقتصادية
ب- إجتماعية
ج- زراعية
د- سياسية

إجابة: ",2,"['أ- إقتصادية', 'ب- إجتماعية', 'ج- زراعية', 'د- سياسية']",ب,[0.06463841 0.58835226 0.30740482 0.0396046 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: العامل الإجتماعي الذي ساهم في تطوير الزراعة بعد ثورة ٢٣ يوليو ١٩٥٢م...........
أ- القضاء علي الإقطاع
ب- مجانية التعليم
ج- إصدار قوانين التأمينات
د- تحديد ساعات العمل

إجابة: ",0,"['أ- القضاء علي الإقطاع', 'ب- مجانية التعليم', 'ج- إصدار قوانين التأمينات', 'د- تحديد ساعات العمل']",د,[0.01322073 0.09017199 0.41073397 0.48587328]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: ساهمت مصر بعد ثورة ٢٣ يوليو ١٩٥٢م في تطوير القومية العربية من خلال.............
أ- دعم سلطات الإحتلال
ب- دعم الأحزاب
ج- دعم الثورات العربية
د- دعم الحكومات المحلية

إجابة: ",2,"['أ- دعم سلطات الإحتلال', 'ب- دعم الأحزاب', 'ج- دعم الثورات العربية', 'د- دعم الحكومات المحلية']",د,[0.00815317 0.09721114 0.29683048 0.5978052 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: الأثر السلبي من تأميم قناة السويس ١٩٥٦م كان في الناحية...........
أ- السياسية
ب- الإجتماعية
ج- العسكرية
د- الإقتصادية

إجابة: ",0,"['أ- السياسية', 'ب- الإجتماعية', 'ج- العسكرية', 'د- الإقتصادية']",ج,[0.04542475 0.2624395  0.39652887 0.29560688]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: نجحت مصر في مواجهة العدوان الثلاثي بفضل النواحي.............
أ- السياسية
ب- الإجتماعية
ج- الثقافية
د- الإقتصادية

إجابة: ",0,"['أ- السياسية', 'ب- الإجتماعية', 'ج- الثقافية', 'د- الإقتصادية']",ج,[0.05595769 0.18015212 0.57835025 0.18553995]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: يدل موقف مصر من إفريقيا في مواجهة الإستعمار علي...........
أ- التناقض بين مصر وإفريقيا
ب- طمع مصر الإقتصادي
ج- التكامل بين مصر وأفريقيا
د- رغبة مصر التوسعية

إجابة: ",2,"['أ- التناقض بين مصر وإفريقيا', 'ب- طمع مصر الإقتصادي', 'ج- التكامل بين مصر وأفريقيا', 'د- رغبة مصر التوسعية']",د,[0.00883378 0.11502881 0.2185665  0.6575709 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: دعمت مصر دول شرق أفريقيا في عهد جمال عبد الناصر في النواحي...........
أ- السياسية والعسكرية
ب- السياسية والثقافية
ج- الإجتماعية والثقافية
د- السياسية والإجتماعية

إجابة: ",1,"['أ- السياسية والعسكرية', 'ب- السياسية والثقافية', 'ج- الإجتماعية والثقافية', 'د- السياسية والإجتماعية']",ج,[0.04497029 0.14852972 0.63848794 0.16801196]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: منح جمال عبد الناصر............حق تقرير المصير
أ- الجزائر
ب- السعودية
ج- السودان
د- ليبيا

إجابة: ",2,"['أ- الجزائر', 'ب- السعودية', 'ج- السودان', 'د- ليبيا']",د,[0.02403348 0.18710446 0.26601025 0.52285177]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تم الإتفاق علي إنشاء منظمة الدول الأفريقية بعد الإجتماع في............
أ- نواكشوط
ب- الخرطوم
ج- القاهرة
د- أديس ابابا

إجابة: ",3,"['أ- نواكشوط', 'ب- الخرطوم', 'ج- القاهرة', 'د- أديس ابابا']",د,[0.02190577 0.07190438 0.21213044 0.6940594 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: رئاسة مصر لمنظمة الوحدة الإفريقية يدل علي.............
أ- مدي التطور المصري
ب- مدي تأثير مصر في القارة الإفريقية
ج- مدي بعد مصر عن المشكلات العالمية
د- مدي تناقص دور مصر

إجابة: ",1,"['أ- مدي التطور المصري', 'ب- مدي تأثير مصر في القارة الإفريقية', 'ج- مدي بعد مصر عن المشكلات العالمية', 'د- مدي تناقص دور مصر']",د,[0.01453411 0.21000083 0.36055982 0.41490525]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: مساهمة مصر في المجال الإقتصادي مع إفريقيا عن طريق............
أ- التكامل
ب- التناقض
ج- الترابط
د- المنح والمساعدات

إجابة: ",0,"['أ- التكامل', 'ب- التناقض', 'ج- الترابط', 'د- المنح والمساعدات']",د,[0.00441747 0.141879   0.24675445 0.6069491 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: الدروس المستفادة من قيام الثورة الفرنسية
أ- الأمة مصدر السلطات
ب- حرية الاعتقاد مكفولة للجميع
ج- طاعة الحاكم مشروطه
د- حرية النقد الفكرى

إجابة: ",0,"['أ- الأمة مصدر السلطات', 'ب- حرية الاعتقاد مكفولة للجميع', 'ج- طاعة الحاكم مشروطه', 'د- حرية النقد الفكرى']",ج,[0.02859467 0.24626242 0.41374978 0.31139308]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: عملت الدولة العثمانية على تشتيت فرنسا عسكريآ اواخر القرن الـ18 و ذلك بالتحالف مع ..............
أ- المماليك وانجلترا
ب- النمسا وانجلترا
ج- النمسا و روسيا
د- روسيا و انجلترا

إجابة: ",3,"['أ- المماليك وانجلترا', 'ب- النمسا وانجلترا', 'ج- النمسا و روسيا', 'د- روسيا و انجلترا']",ج,[0.0134691  0.0686277  0.60872215 0.30918106]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: اصبح العلماء المصريين على رأس الهرم الاجتماعى المصرى اثناء قيادة نابليون للحملة من الناحية ............
أ- السياسية والاجتماعية
ب- الفكرية والاقتصادية
ج- السياسية والاقتصادية
د- الاجتماعية والاقتصادية

إجابة: ",0,"['أ- السياسية والاجتماعية', 'ب- الفكرية والاقتصادية', 'ج- السياسية والاقتصادية', 'د- الاجتماعية والاقتصادية']",ج,[0.01693487 0.16177756 0.6136172  0.20767044]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: تعتبر ...... نهاية محاولات نابليون لتكوين مستعمرة كبرى فى الشرق
أ- حملة نابليون على الشام
ب- ابوقير 1799
ج- ابوقير فبراير 1801
د- ابوقير 1798

إجابة: ",3,"['أ- حملة نابليون على الشام', 'ب- ابوقير 1799', 'ج- ابوقير فبراير 1801', 'د- ابوقير 1798']",د,[0.0148159  0.28459328 0.19894871 0.5016421 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من اهم اسباب تدهور الصناعه فى مصر قبل مجىء الحملة الفرنسية .........
أ- سيطرة الملتزمين
ب- اهمال الدولة للصناعه
ج- صعوبة فهم التطور الصناعى الحادث فى اوروبا
د- طوائف الحرف

إجابة: ",2,"['أ- سيطرة الملتزمين', 'ب- اهمال الدولة للصناعه', 'ج- صعوبة فهم التطور الصناعى الحادث فى اوروبا', 'د- طوائف الحرف']",د,[0.01924236 0.13070777 0.22365399 0.6263958 ]
"هذا سؤال في التاريخ للمرحلة الثانوية في مصر. اختر الإجابة الصحيحة!

سؤال: من الاسباب الرئيسية لتدهور التجارة فى مصر اثناء الحكم العثمانى ........
أ- الصراع السياسى
ب- التجار الاجانب
ج- التدهور الزراعى
د- الاهمال العثمانى

إجابة: ",0,"['أ- الصراع السياسى', 'ب- التجار الاجانب', 'ج- التدهور الزراعى', 'د- الاهمال العثمانى']",ج,[0.00928335 0.08248613 0.6043036  0.30392697]
