obs1,obs2,hyp1,hyp2,gold_label_original,gold_label_letter,predicted_label_letter,is_correct,llm_raw_response
رندي أراد أن يكون في فرقة موسيقية.,رندي انضم إلى الفرقة كمغني!,رندي جرب أداءً في جميع أنحاء المدينة للحصول على وظيفة تمثيل.,رندي ذهب إلى تجربة أداء.,2,ب,ب,True,ب
لم أستمتع حقًا بعيد الشكر كثيرًا بسبب عدم وجود عائلة كبيرة.,عندما انتهينا، قلنا وداعًا وعدنا إلى المنزل للنوم.,بعد أن تزوجت احتفلت أنا وزوجتي مع عائلتي.,ذهبت إلى منزل صديق هذا العام.,2,ب,ب,True,ب
استيقظت على الساعة السابعة صباحا.,كانت رائحة فمه سيئة حقا.,مالت على زوجي في السرير وقبلته.,تجاهل ساعي البريد طلبي لتسليم الطرد.,1,أ,ب,False,ب
جان وكيم كانا يستخدمان نموذج مونتيسوري للتعليم.,أعادت جان الكتب.,استعارت جان بعض الكتب من كيم.,استعارت كيم بعض الكتب من جان.,1,أ,ب,False,ب
كانت سوزان مصابة بحمى شديدة.,شعرت بتحسن في اليوم التالي.,قررت سوزان البقاء في المنزل والتظاهر بأنها مريضة.,أخذت سوزان يومًا إجازة، وتناولت بعض الأسبرين ونامت طوال اليوم.,2,ب,ب,True,ب
كانت لدى لورا شغف بالفن.,كانت لورا سعيدة لإظهار الناس فنها.,عملت لورا بجد لتعلم الرسم.,رأى الناس مشروع لورا الفني وأعجبوا به.,1,أ,ب,False,ب
كان جيمس يمشي عبر الثلج.,ركض بسرعة إلى المنزل ليغير ملابسه.,بلل شعر جيمس.,زلت قدماه وسقط في الوحل.,2,ب,ب,True,ب
في يوم من الأيام ، ذهب جيم وتوم إلى الشاطئ.,لم يتناول جيم وتوم أي كلب ساخن آخر بعد ذلك اليوم.,أصيبوا بتسمم غذائي من بعض البرغر السيئ.,الهوت دوج الذي اشتراه جيم جعلهم مرضى.,2,ب,ب,True,ب
كانت مونيك تنهي رواية جديدة.,أخذت النسخة وضربت غاري بقوة على رأسه بها.,تسلل غاري من خلفها وأخافها لأنها كانت منهمكة في قراءة روايتها.,كانت تختبر غاري بشأن ذلك.,1,أ,ب,False,ب
هوايتي هي التقاط صور سيلفي أمام قبور الشعراء.,التقطت عدة صور سيلفي بجوار قبر هذا الشاعر.,المفضلة لدي كانت مايا أنجيلو.,ذهبت إلى قبر ووجدت علامة لشخصية رياضية.,1,أ,ب,False,ب
كانت كارين ترغب في أن يكون لها طفل خاص بها.,لم تكن أبدًا أكثر سعادة في حياتها.,أنجبت كارين في النهاية أرنبًا صغيرًا.,سألت كارين صديقها إذا كان يرغب في واحد أيضًا وقال نعم.,2,ب,ب,True,ب
كان لدى توم الكثير من سماعات الرأس.,لم يواجه توم مشكلة في فك تشابك سماعات الرأس مرة أخرى.,لم يستغرق الأمر منه وقتًا لفك تشابكهم.,اختار توم الذهاب إلى معدات لاسلكية.,2,ب,ب,True,ب
كنت مملًا في غرفتي ذات يوم.,كنت ما زلت مملًا، لذلك توقفت.,قررت أن ألعب بعض ألعاب الفيديو.,لذا قررت أن أحاول القيام بمهارة التقاط الكرات.,2,ب,ب,True,ب
اليوم ذهبنا في رحلة بالطائرة.,تعهدت بعدم ركوب الطائرة مرة أخرى.,لم يكن للطائرة رحلة سلسة.,وكان هناك شجار على اللعبة.,1,أ,ب,False,ب
فتحت كيس النوم الخاص بي الذي لم أستخدمه منذ عشر سنوات.,لحسن الحظ، كنت أعرف شخصًا يمكنه إصلاحه.,كان هناك فأر في كيس نومي.,وكانت هناك ثقوب عثة كثيرة في المادة.,2,ب,ب,True,ب
كانت جيل دائمًا تحصل على درجات سيئة في الرياضيات.,لدهشتها، أجابت على كل سؤال بشكل صحيح.,درست جيل بجد حقًا.,درست جيل بجد حقًا لاختبار اللغة الإنجليزية المقبل.,1,أ,ب,False,ب
صباح السبت الباكر بينما كنت جالسا أقرأ كتاب الله حلقت فراشة بجانبي.,تتبعتها حتى اختفت ومن ثم عدت إلى دراستي.,كانت تتحرك وكأنها كانت ترقص في الهواء.,صباح السبت وأنا أستيقظ باكرا ودائما أقرأ كتابي المقدس.,1,أ,ب,False,ب
لم يكن لدى لوسي ملابس نظيفة.,وقعت لوسي في حب شعور سترة دافئة من المجفف.,قررت لوسي غسل ملابسها.,تخلصت لوسي من سترتها.,1,أ,ب,False,ب
ذهبت ليز لطلب البرجر الخاص بها.,رمَت ليز برجرها بعيدًا.,أدركت ليز أنه لم يكن برجرًا.,لم تكن ليز حقًا جائعة.,2,ب,ب,True,ب
كانديس تحب التاكو.,التزمت كانديس بوصفة التاكو الأصلية الخاصة بها.,جربت كانديس وصفة تاكو جديدة، لكنها كانت مذاقها سيئًا.,قررت كانديس شراء بعضها.,1,أ,ب,False,ب
أليكس رجل أناني.,الآن، أليكس على علاقة مع الفتاة وهو في غاية الكرم واللطف.,لقد غير من طباعه ليجد صديقا.,أليكس التقى بفتاة وكان معجبا بها حقا.,2,ب,ب,True,ب
الأسبوع الماضي، كانت أمي محبطة لأن يبدو أن شيئًا لم ينجح.,لمدة نصف ساعة بكت، وفجأة اشتغلت مثل السحر.,كان جهاز الكمبيوتر الخاص بها لا يعمل إطلاقا.,الطاقة لن تنطفئ في المنزل.,1,أ,ب,False,ب
كانت إيفي في معرض.,كانوا جميلين لدرجة أنها قررت شراء واحد.,رأت إيفي قبعة آسرة في أحد الأكشاك.,رأى الناس الذين لديهم الكثير من القبعات إيفي.,1,أ,ب,False,ب
كان لدى لوسي اختبار غدًا في المدرسة ولم تدرس بصعوبة.,أحرزت لوسي نجاحًا كبيرًا في الاختبار.,كانت لوسي ذكية جدًا ودائمًا ما تنتبه في الفصل.,قررت لوسي الدراسة في المرة القادمة للاختبار النهائي.,1,أ,ب,False,ب
قرر بيتر الذهاب للنزهة.,اتجه إلى المنزل ليغير ملابسه.,ابتل بيتر في الجفاف.,في منتصف الطريق أثناء مشيه، بدأ المطر يهطل بغزارة.,2,ب,ب,True,ب
قررت ماري أن تكون في مسرحية مدرسية.,كانت مارى فخورة في النهاية عندما حصلت على تصفيق حار.,تدربت جينيفر على خطوطها ومشاعرها.,قرأت ماري السيناريو عدة مرات لتتذكر كل سطر.,2,ب,ب,True,ب
لاحظت ليزا أن هناك فتاة جديدة في المدرسة.,كانت ليزا سعيدة للمساعدة.,بدت ليزا وكأنها ضائعة.,دعت ليزا الفتاة الجديدة للجلوس معها وتناول الغداء.,2,ب,ب,True,ب
كان سام يجزّ حديقته الأمامية.,أعادهم إلى العش في الشجرة.,سحق سام بيض الطيور على حديقته الأمامية.,رصد سام ثلاثة طيور صغيرة على الأرض.,2,ب,ب,True,ب
أليسيا أرادت الذهاب إلى ميامي لحفلة عيد ميلادها.,كانت الفتيات غاضبات لأنه كان من المفترض أن تكون رحلة للفتيات فقط.,دعت أليسيا صبيًا ليرافقها في الرحلة.,لكن أختها الصغيرة لم تدعها تذهب بمفردها.,1,أ,ب,False,ب
ذهب مات وصديقته إلى يوسمايت في مايو الماضي.,كان لديهم رحلة رائعة وهم متحمسون للعودة.,كان الجو جميلاً في يوسمايت.,أصيب مات بإنفلونزا المعدة.,1,أ,ب,False,ب
توسلت لي لوالديها أن يسمحا لها بالبقاء مستيقظة حتى وقت متأخر.,ولكن بحلول الساعة الحادية عشرة ، كانت قد غفت بسرعة!,أرادت أن تستيقظ لتعوم.,قال والداي لي أنها تستطيع أن تبقى مستيقظة حتى منتصف الليل.,2,ب,ب,True,ب
تعلم جيف كيفية العزف على الجيتار في سن مبكرة جدًا.,أخذوا الفرقة في جولة وأصبحوا نجومًا صخريين.,تعثر كل يوم وأصبح جزءًا من فرقة موسيقية.,أحب والدا جيف الاستماع إلى فرقته وهي تلعب.,2,ب,ب,True,ب
يكتشف عالم أن هناك مرضًا بدأ في الانتشار.,ينقذون العالم.,يتجاهلون السلطات.,يبتكر العالم لقاحًا.,2,ب,ب,True,ب
أراد ماثيو الذهاب إلى خدعة أو علاج مع صديقه ميكاه.,جاك وماثيو جمعوا الكثير من الحلوى.,كان على ميكاه أن يبقى في المنزل مريضًا.,كان لدى ميكاه حقيبة كبيرة لتجميع الحلوى.,1,أ,ب,False,ب
حصل جون على وظيفة في شرق تكساس.,قرر ترك الوظيفة.,جون لم يحب والدته.,كانت على بعد ساعة من منزله.,2,ب,ب,True,ب
بنى مزارع سياجًا ليحبس فيه خيوله.,لعن المزارع وأدرك أن سياجه قصير جدًا.,تهرب جميع خيول المزارع من السياج.,لا يمكن لأي حصان الهروب من السياج.,1,أ,ب,False,ب
نانسي في الأربعينيات من عمرها وقررت الذهاب للحصول على شهادتها الجامعية.,كانت نانسي مندهشة من مدى تغير الأشياء في المدارس.,في جامعتها الجديدة، تتطلب جميع الدورات المشاركة عبر الإنترنت.,نانسي أصغر بكثير من معظم الطلاب في فصولها.,1,أ,ب,False,ب
كان لمايك شجرة ليمون في فناء منزله الخلفي.,أدرك في وقت قريب أنه قد نسي أن يضع أي سكر فيها!,صنع مايك بعض عصير الليمون مع السكر المضاف وتناول رشفة كبيرة.,صنع مايك بعض عصير الليمون وتناول رشفة كبيرة.,2,ب,ب,True,ب
أخذت أبنائي إلى حفلهم الموسيقي الأول.,قرر أبنائي أنهم يفضلون الخروج والجلوس على العشب.,اشتريت لهم مقاعد في الصف الأول.,غفى أبنائي.,1,أ,ب,False,ب
يريد جيم مشاهدة فيلم أكشن لكن جين تريد مشاهدة فيلم رومانسي.,كانت جين سعيدة للغاية لدرجة أنها ذهبت لمشاهدة فيلم جيم في الليلة التالية.,وافق جيم على مشاهدة الفيلم الرومانسي مع جين.,وافقت جين على مشاهدة الفيلم الرومانسي مع جيم.,1,أ,ب,False,ب
ذهب تيتو لممارسة رياضة ركوب الأمواج ذات صباح في هاواي.,ضرب رأسه على مرجان وتوفي.,ضربته موجة كبيرة وألقته بعيدا عن لوح التزلج الخاص به.,رأى تيتو أن الظروف كانت خطرة.,1,أ,ب,False,ب
لاري قرر مساعدة أصدقائه على الاستعداد للحفلة.,قرر لاري البقاء في المنزل من الحفلة.,أصيب لاري بالإنفلونزا بعد الحفلة مباشرة.,أصيب لاري بالإنفلونزا قبل بدء الحفلة مباشرة.,2,ب,ب,True,ب
كانت لميمي وأليس مكان تجمع مفضل.,الآن كل ما لديهم من مكانهم المفضل هي الذكريات التي صنعوها,المكان يتعرض للدمار.,تم الحفاظ على المكان المفضل لميمي وأليس كموقع تاريخي.,1,أ,ب,False,ب
أرادت سارة إرسال بطاقة بريدية.,سرعان ما كانت رسالة سارة في طريقها إلى وجهتها.,وضعت طوابع بريدية عليها.,سارت سارة إلى صندوق البريد أسفل الطريق.,1,أ,ب,False,ب
ذهبت ليزا في رحلة دراجتها الروتينية.,بعض الأيام تتحول إلى مغامرات رائعة.,رصدت ليزا قطة واتبعها خارج المسار.,رأت ليزا الكثير من الطعام الرائع.,1,أ,ب,False,ب
طلب والد أندريا منها إحضار الحطب.,ثم أحضرتهم إلى الداخل.,التقطت أندريا أكبر قدر ممكن من الخشب.,ذهبت أندريا ووجدت حشرات مضيئة.,1,أ,ب,False,ب
كان جاك يعمل بجد لأسابيع.,حصل على الترقية.,لاحظ رئيس جاك كيف أنه أكل طعامه بشراهة.,تم استدعاء جاك إلى مكتب رئيسه.,2,ب,ب,True,ب
كانت جينا في وسط المقعد الخلفي محاطة بأشقائها.,كانت جينا مقززة.,أصيبت أخت جينا بدوخة السيارة وتقيأت.,بدأ أشقاء جينا في انتقاء أنوفهم.,2,ب,ب,True,ب
كانت سارة تسير إلى المنزل من فصلها الجامعي.,بحلول الوقت الذي عادت فيه، حان الوقت للذهاب إلى المدرسة مرة أخرى.,قررت سارة التغيب عن المدرسة.,أجبرتها أعمال البناء في الحرم الجامعي على اتخاذ طريق بديل طويل.,2,ب,ب,True,ب
أراد العمدة أن يقرر البلد كيفية استخدام المستودع.,في العام التالي استقال من وظيفته النهارية وذهب على الطريق.,كانت البلدة تدار بشكل جيد للغاية.,لم يستمع إليه أحد على الرغم من أفكاره العظيمة.,2,ب,ب,True,ب
طلب جيم جهاز لوحي جديد من الإنترنت يوم الجمعة السوداء.,أرسلوا له جهاز لوحي جديد لأنه الآخر ضاع في العبور.,تلقى جهازه اللوحي في اليوم التالي.,لم يستلم جيم الجهاز وقدم شكوى.,2,ب,ب,True,ب
سالي تحب حقًا لعب كرة القدم.,فازت بلعبتها الأولى بتسجيلها هدف الفوز!,تدربت سالي على لعب كرة القدم كل يوم.,تم استبعاد سالي من الفريق.,1,أ,ب,False,ب
أخبرت ليزا الجميع أنها طباخة ماهرة.,صُدم أصدقاؤها عندما وجدوه مكرونة بالجبن معلبة!,ليزا لا تحب أن تطبخ الأطعمة المعبأة مسبقًا.,ليزا، أخرجت الطبق وقدّمته للجميع.,2,ب,ب,True,ب
كرهت ماي غسل الأطباق.,كانت ماي في غاية الارتياح لأن أطباقها انتهت الآن!,قامت ماي بغسل جميع أطباقها.,قررت ماي شراء أطباق ورقية.,1,أ,ب,False,ب
كنت أطلية أظافري أمس عندما احتجت إلى مزيل طلاء الأظافر.,كان عليّ أن أفتح النافذة للتخلص من الرائحة.,كاد مزيل الطلاء ينسكب على الأرض كلها.,شعرتُ بالدوار أثناء البحث عنه.,2,ب,ب,True,ب
كان جيمي يغسل سيارته.,جزيئات الأوساخ من القماش قد حكت طلاء سيارته.,كان حريصًا جدًا في عملية الغسيل.,طفله ركض نحوه ورمى كرات من الطين عليه.,2,ب,ب,True,ب
لاحظت ماجي أن خفاشًا كان يطير حول سقفها.,كان الخفاش هو المسؤول.,كان هناك صوت صراخ قادم من الأسفل.,كان هناك صوت صراخ قادم من الأعلى.,2,ب,ب,True,ب
ذهبت أمس إلى ماسيز.,لحسن الحظ تمكنت من إعادتها.,اشتريت فستانًا بأصغر مقاس لا يزال مناسبًا!.,كانت السترة التي اشتريتها صغيرة جدًا.,2,ب,ب,True,ب
نينا مشطت شعرها البني الجميل.,أجبرت نفسها على أن تكون أكثر لطفًا.,رأت نينا الكثير من الشعر في فرشاتها.,لاحظت نينا أنها تسحب كميات إضافية من الشمع من فروة رأسها.,1,أ,ب,False,ب
أخبرتها والدتها أن ليس لديهم مال لدفع فاتورة الكهرباء.,دفعت والدتها فاتورة الكهرباء.,ذكرت سالي والدتها أن لديها بعض المال في حساب التوفير.,أعطت والدة سالي لها المال.,1,أ,ب,False,ب
كان مايكل يلعب لعبة فيديو.,تم حظره من اللعبة.,ترك مايكل تعليقات بذيئة على منتدى المدرسة.,بدأ مايكل في مضايقة لاعبة في اللعبة.,2,ب,ب,True,ب
سرق جاك دراجة صبي صغير.,أعاد جاك الدراجة، ولم يسرق أي شيء منذ ذلك الحين.,بينما كان جاك يركض بعيدًا على قدميه، صدمته سيارة عابرة وتلوث.,علمت والدة جاك بالأمر وعاقبته وأجبرته على الاعتذار.,2,ب,ب,True,ب
كانت لجينا صديقة تُدعى روث تعيش عبر الشارع.,كانت جينا في صدمة لأنها لم تكن تعلم أن روث كانت تسرق.,علمت روث أن جينا تم القبض عليها للسرقة.,ظهرت الشرطة لمداهمة منزل روث.,2,ب,ب,True,ب
كان جيمس رئيسًا للمطافئ يريد التقاعد في فلوريدا.,المطبخ دائمًا مزدحم عندما يصنع جيمس باذنجانه بارميزان!,جيمس المتبقي لصنع باذنجان بارميزان.,بعد تقاعد جيمس أصبح طاهياً.,2,ب,ب,True,ب
استأجرت لوسي فيلمًا لمشاهدته في المنزل.,جلست لوسي ودموعها تنهمر على وجهها أثناء عرض شارة النهاية.,شاهدت لوسي الفيلم، على الرغم من أنه كان مثيرًا.,نهاية الفيلم كانت حزينة.,2,ب,ب,True,ب
اشترى تشاد سيارة جديدة.,تم تخفيض رتبة تشاد إلى اتخاذ الحافلة والمشي مرة أخرى.,تورط تشاد في حادث سيارة.,رأى تشاد حادث سيارة.,1,أ,ب,False,ب
كانت سامانثا غارقة في العرق.,كانت سامانثا سعيدة لأنها كانت مجرد حلم.,استيقظت وهي تضحك.,كان لدى سامانثا كابوس.,2,ب,ب,True,ب
كان توم يبحث عن زهرة لصديقته اليوم.,خرج توم من المتجر وفي يده الزهرة الجميلة.,بحث توم لفترة طويلة عن زهرة.,ذهب توم إلى متجر زهور عبر الإنترنت.,1,أ,ب,False,ب
كان تشيس لديه سنٌ متخلخل.,عندما سقطت سنّه شعر بالارتياح.,كان تشيس في مكان جيد.,قفز تشيس على الترامبولين وسقطت سنّه.,2,ب,ب,True,ب
رأى ستيف بعض السوشي في الثلاجة.,كان زميله في السكن بخير معها.,أكلها ستيف واتضح أنها لزميله في السكن.,كانت لزميل ستيف في السكن. قال إذا أخذ له السوشي الليلة ، سيخرجه ستيف لتناول السوشي غدًا.,1,أ,ب,False,ب
كانت شيرلي حاملاً وكانت قد بدأت بالفعل في المخاض.,قبل أن تتمكن من استيعاب الأمر، ولد طفلها.,كادت شيرلي أن لا تشعر بالألم.,كانت شيرلي متحمسة لأنها ستصبح أماً.,1,أ,ب,False,ب
كسرت بيث ساقها.,الآن رائحة كريهة جدا.,كانت ساق بيث عالقة في جبيرة لعدة نهايات.,كانت بيث ترتدي جبيرة لأسابيع.,2,ب,ب,True,ب
كان هناك رعد في الحديقة.,فجأة وصلت الشرطة.,لم يتصل أحد بالشرطة.,أطلقت النار بصوت عال.,2,ب,ب,True,ب
أراد جون أن يعرف المزيد عن الطيور، لذلك ذهب إلى المكتبة.,هرع جون خارج المكتبة ولم يعد أبدًا إلى هناك مرة أخرى.,سخر أقران جون من الكتاب الذي اختاره.,رأى جون طائرًا طار داخل كتاب المكتبة.,1,أ,ب,False,ب
اصطدمت شاحنة جوى بالخطأ عن الطريق صباح يوم عيد الميلاد.,عاد جوى إلى المنزل في الوقت المناسب لتناول عشاء عيد الميلاد.,اتضح أن جوى مشترك في خدمة AAA.,تأخر جوى لأكثر من خمس دقائق.,1,أ,ب,False,ب
ذهبت بريندا في إجازة إلى فيغاس.,غادرت بريندا فيغاس وهي تعلم أنها قضت وقتًا ممتعًا.,نسيت بريندا أن تذهب للرقص والمقامرة.,رقصت وقامت بالمقامرة طوال الوقت.,2,ب,ب,True,ب
كان على بيث أن تختار بين الجامعات.,قررت بيث البقاء في المنزل والذهاب إلى المدرسة القريبة.,لم ترد بيث أن تكون بعيدة عن عائلتها وأصدقائها.,لم ترد بيث دفع تكاليف السكن الطلابي، لذا قررت أن تسكن بدون دفع إيجارات.,1,أ,ب,False,ب
كانت ليا بصدد بدء المدرسة الثانوية في مدرسة جديدة.,صنعت ليا العديد من الأصدقاء في يومها الأول!,تحدثت ليا مع العديد من المعلمين الجدد.,كانت ليا شخصًا اجتماعيًا، لذلك قدمت نفسها بسرعة.,2,ب,ب,True,ب
جاك يعمل في ورشة لتصليح هياكل السيارات.,هم خائفون من إعطاء صاحب العمل الفاتورة.,جاك صدم سيارة باهظة الثمن.,كان على جاك إصلاح رافعة السيارة، لقد كانت مكلفة للغاية.,2,ب,ب,True,ب
أربعة من الخارجين عن القانون نصبوا خيامهم في بلود جولش.,سمح لهم بالمغادرة.,فحصهم الحارس ليرى ما يرتدونه.,رشى الشريف الخارجين عن القانون بمكاسبه غير المشروعة.,1,أ,ب,False,ب
كان إيلي من المعجبين بـ Walking Dead وجميع أصدقائه يعرفون ذلك.,حُكم على إيلي بالسجن مدى الحياة بسبب سلوكه الطائش.,حاول إيلي مشاهدة العرض في الحياة الواقعية.,هاجم إيلي أحد أصدقائه، وهو يضحك ويصرخ بأنها زومبي.,2,ب,ب,True,ب
كان جان و كيم يستخدمان نموذج مونتيسوري للتعليم.,تخلص جان من الكتب.,لا يركز نموذج مونتيسوري على الكتب المدرسية.,لا يعمل نموذج مونتيسوري بدون كتب مدرسية.,1,أ,ب,False,ب
أشلي كانت تعمل بجد في العمل.,قبلت بترحاب.,عرض على أشلي تخفيض رتبتها.,سئلت أشلي إذا كانت تريد ترقية.,2,ب,ب,True,ب
كان تومي خائفًا من التزلج.,لقد أحب دائمًا التزلج بعد ذلك.,قضى أخوه الأكبر أسبوعًا يعلمه التزلج.,أدرك تومي أنه كان جيدًا حقًا في الأكل.,1,أ,ب,False,ب
أرادت جين أن ترتدي قميصًا.,قامت بإعادته والاعتذار.,اشترت وشاحًا بحجم خاطئ.,أدركت جين أن القميص صغير جدًا.,2,ب,ب,True,ب
اصطحب دان ابنته إلى الشاطىء.,عادوا في اليوم التالي وبنوا واحدًا مرة أخرى.,بنى دان وابنته قلعة رملية ضخمة فور وصول موجة وغسلتها.,بنى دان وابنته قلعة رملية.,2,ب,ب,True,ب
بينما كان يسير كلبه السحلية، لم يكن يعتقد أنه يخالف القانون.,أعطى مالك السحلية تذكرة.,امتلاك سحلية أمر غير قانوني في تلك البلدة.,قال ضابط شرطة مرحبًا لمالك السحلية.,1,أ,ب,False,ب
لقد تمت دعوتي إلى حفلة من قبل صديق ما.,أول حفلة أتمنى أن تنتهي بسرعة.,كانت مملة للغاية.,جميع أصدقائه كانوا لطفاء وشعرتُ بالراحة.,1,أ,ب,False,ب
لقد لعبت خدعة كذبة أبريل على صديقتي في عام 2007.,كانت متحمسة جدًا حتى اكتشفت أنها خدعة.,أخبرتها أنني سأحصل لها على هدية رخيصة.,جعلتها تظن أنها فازت باليانصيب.,2,ب,ب,True,ب
كان ريجي وآلي مستلقيين على الأرض وينظران إلى السماء.,بالنسبة لها ، بدا ديناصور ريجي مثل أرنب.,كانوا ينظرون إلى شكل الغيوم.,كان ريجي وآلي يبحثان عن أشكال في الغيوم. قالت آلي إن إحدى الغيوم تشبه الديناصور. ريجي لم يوافق على ذلك.,1,أ,ب,False,ب
أحب دانا سلسلته الذهبية.,باع سلسلته الذهبية التي تبلغ قيمتها 200 دولار بـ 20 دولارًا لمارّة.,فقد دانا محفظته وكان بحاجة إلى المال.,وقع دانا في الديون بشكل سيء وكان بحاجة إلى 200 دولار.,1,أ,ب,False,ب
كانت كيلي تشاهد عاصفة برق هائلة.,لحسن الحظ تمكنوا من إخمادها بسهولة.,أصابت صاعقة هوائية هوائي التلفزيون.,ضرب البرق وبدأ حريق صغير.,2,ب,ب,True,ب
كل صباح أستيقظ على صياح الطائر.,أعرف أنه الصباح عندما أسمع صياح الطائر.,رأيت ريش الطائر.,لم أعد أشغل منبهي بعد الآن.,2,ب,ب,True,ب
لارس كان دائمًا يريد تجربة التصوير الفوتوغرافي.,لارس يكره التصوير الفوتوغرافي.,لارس أخيرًا جرب التصوير الفوتوغرافي وكان سيئًا جدًا.,لارس اكتشف بسرعة أن التصوير الفوتوغرافي كان أسهل وأكثر إثارة مما توقع.,1,أ,ب,False,ب
بالأمس كان عيد ميلاد لورين.,أحبّت الكعكة وأكلت قطعتين بعد أن نفخت الشموع.,لقد صنعت لها فطيرة.,كانت لورين متحمسة لرؤية كعكة مع شموع.,2,ب,ب,True,ب
كانت نيتا تلعب رومي مع والدها.,كرهت نيتا لعب الورق.,خسرت نيتا كما هي العادة دائمًا.,سحقت نيتا الخصم كما هي العادة دائمًا بالطبع.,1,أ,ب,False,ب
كان لدى ميشيل اختبار كبير يوم الجمعة.,ضحكا معًا لفترة ودرسا بجد إضافي.,درست ميشيل مع صديقتها.,لم تدرس ميشيل.,1,أ,ب,False,ب
ذهبت ليندا لشراء بعض الزبادي المجمد.,كانت ليندا سعيدة جدا.,كان لدى المتجر علامات ليندا التجارية المفضلة بسعر أعلى جديد.,كان لدى المتجر علامات ليندا التجارية المفضلة بسعر أقل جديد.,2,ب,ب,True,ب
كانت لدى رينا وشم لم يعجبها.,وبعد ساعة، انتهى الوشم الجديد الذي غطى الوشم القديم.,ذهبت رينا إلى صالون الوشم للحصول على وشم آخر.,قررت أن تحصل على وشم يغطي الوشم القديم.,2,ب,ب,True,ب
كانت الآنسة سوزي تحسب الأطفال في فصلها وهم يصعدون إلى الحافلة.,صعد الأطفال والآنسة سوزي إلى الحافلة للعودة إلى المدرسة.,كانوا عائدين من رحلة ميدانية.,عدت الآنسة سوزي جميع الدجاجات.,1,أ,ب,False,ب
بدأ بائع الزهور في صنع باقة من الورود الحمراء.,تم بيع الباقة لاحقا لعميل بعد لحظات.,وضع بائع الزهور الباقة في التخزين بين عشية وضحاها.,وضعت الباقة في واجهة عرضها الأمامية.,2,ب,ب,True,ب
راندال يريد اللعب مع الأطفال الآخرين في صفه.,شارك راندال لعبه بسعادة مع أصدقائه الجدد.,جاء ولد من صفه إليه وطلب منه اللعب ، لكنه قال لا.,رأى الأطفال لعبته وأرادوا اللعب.,2,ب,ب,True,ب
زمجت معدة جورج.,مبتسمًا ، قام بخلطهم معًا واستمتع بحساء طماطم.,استولى على بعض البسكويت المالح من الطاولة القريبة ووجد علبة حساء.,صنع جورج بعض الطعام الصيني لتناول العشاء.,1,أ,ب,False,ب
كانت جون تحب ممارسة اليوغا في كثير من الأحيان.,مارست جون اليوغا في حديقة في مكان منعزل.,كانت جون تحب ممارسة اليوغا في وقت متأخر من الليل.,كانت جون تحب ممارسة اليوغا في الهواء الطلق عند الغداء.,2,ب,ب,True,ب
كانت ماي معجبة كبيرة بفرقة الغناء بينتاتونيكس.,في وقت لاحق من ذلك الشهر ذهبت ماي لمشاهدة أعضاء الفرقة والالتقاء بهم!,فازت ماي بمسابقة إذاعية للقاء الفرقة.,اشترت ماي تذاكر مزيفة عبر الإنترنت.,1,أ,ب,False,ب
كان جون في طريقه إلى العمل.,استدار جون و عاد إلى المنزل ليغير ملابسه إلى نظيفة.,سكب جون القهوة على نفسه.,أدرك جون أنه كان يرتدي حذاء متسخ و كريه الرائحة.,1,أ,ب,False,ب
نشأ بيتر وكيفن في بلدة صغيرة.,أبناؤهم هم أفضل الأصدقاء، ويلعبون في نفس الفريق.,أحباب بيتر وكيفن يحبون نفس الرياضات.,أنجب بيتر وكيفن أطفالًا.,2,ب,ب,True,ب
عاش جيف في شقة.,انتقل جيف من شقته.,قرر جيف شراء حوض استحمام ساخن.,أراد جيف مكانًا بحديقة كبيرة.,2,ب,ب,True,ب
تم تسجيل أليسون للمشاركة في مسابقة أكل تنافسية.,لم تؤد أليسون أداءً جيدًا في المسابقة ولم تفز.,حاولت أليسون بجدية أن تأكل جميع الهوت دوج.,سبق لأليسون أن قامت بأشياء مثل هذا في كثير من الأحيان.,1,أ,ب,False,ب
أرادت سالي أن تهدي والدتها شيئًا مميزًا لعيد ميلادها.,صنعت سالي عقدًا ورديًا جميلًا من الخرز لعيد ميلاد والدتها.,ذهبت للتسوق ووجدت مجموعة حرفية مجوهرات جميلة.,كانت سالي قد اشترت لها هدية بالفعل.,1,أ,ب,False,ب
لم توافق والدة جيريمي على أسلوب حياته.,استمتع جيريمي بكونه أكثر مسؤولية.,حصل جيريمي على وظيفة وانتقل للخارج.,حصل جيريمي على وظيفة وانتقل للداخل.,1,أ,ب,False,ب
استمتعت مورغان بالمشي الطويل على الشاطئ.,كان صديقها منزعجًا لأنه لم يخطبها أولاً.,يريد صديقها أن يتزوجها بالتأكيد.,لم يعجب صديق مورغان بالشاطئ لكن صديقتها المقربة مايك كانت دائمًا ما تذهب معها.,2,ب,ب,True,ب
كان الأطفال على الشاطئ.,كانوا يحبون القفز فوق الأمواج.,الأطفال أحبوا الأمواج.,لعب الأطفال في الماء.,2,ب,ب,True,ب
اشترت راشيل سمكة ذهبية لطفلها.,سألها طفلها لماذا فقدت سمكته الكثير من الوزن.,يبدو أن سمكة الذهب فقدت الوزن بسرعة.,لم يطعم طفلها الكلب.,1,أ,ب,False,ب
عدت إلى المنزل من العمل ذات يوم.,لقد صنعت قليًا سريعًا لذيذًا وتناولته.,أردت تجربة شيء جديد مع بقايا طعامي.,كنت جائعًا ، لذا ذهبت إلى المطبخ وطلبت شيئًا لآكله.,1,أ,ب,False,ب
