observation_1,observation_2,hypothesis_1,hypothesis_2,label
كانت كيلي تحضّر العشاء لأمها وأبيها للمرة الأولى.,استمتع الجميع وتمتّعوا بالضحك عليها لسنوات.,قامت كيلي بتحضير الدجاج بشكل غير كافٍ وحرّقت البطاطا بشكل سيء.,كان العشاء الذي قامت كيلي بتحضّره طعميًا.,1
كانت أمبر خائفة من مستقبلها.,لم تكن أمبر anymore قلقاً عن مستقبلها.,تحدثت أمبر إلى مشورة أكاديمية لها.,تحدثت أمبر إلى مشورة روحانية لها.,1
حان يوم المباراة الكبيرة.,سجل تيري 2 أهداف في ذلك اليوم وأحصل على فوز فريقِه.,تَعَلَّم تيري لمدة طويلة.,كان تيري كبيرًا جدًا.,1
كانت سارة تريد كلبًا جديدًا بجنون.,خرج سنجاب وخرجت رغبة سارة في حيوانات.,كانت سارة خارجًا تطلع على كلب الجار.,كانت سارة خارجًا تطلع على ملابس الجار الداخلية.,1
كانت مونيكا في المكتبة مع خطيبها.,أخرجتهم لأنهم كانوا يلجؤون.,أحضروا الأطفال الطعام وتركوا القمامة على طاولة القراءة.,لاحظت المكتبة مونيكا وخطيبها كانوا يلجؤون فقط يقرأون.,1
عندما تكون جين في العاشرة من عمرها تريد أن ترتدي الماكياج.,تعلمت جين درساً.,أطبقت جين مكياج أمها وبدت مثل كوميدي.,أذن أم جين لجين أن تضع مكياجها بنفسها ولكن أصدقائها أبدوا إعجابهم بها.,1
كان الصوت المخالف يصدر كل ليلة في بيت تيد.,أظهرت الأحداث أن قطًا متوحشًا هو الذي أثار الصوت.,كان يخرج إلى الخارج، لكن لا أحد كان هناك.,أصابه الإرهاق من الاستيقاظ كل ليلة، فبقي مستيقظًا طوال الليل حتى ينتقل من بيتِه.,1
حاول نيل أن يرى وحش لوخ نيس أثناء رحلته إلى اسكتلندا.,قالوا إنهم لا يصدقون في الوحش على الإطلاق!,رأوا الوحش بأنفسهم.,سأل نيل السكان المحليين أين يمكن أن يجدوه.,2
استيقظت صباحاً وخرجت إلى الخارج لاستلام الجريدة.,خرجت إلى الخارج وقمت بلف الجريدة بسرعة.,كان هناك عاصفة طوفانية خارجاً.,كان هناك مطر و لا أريد أن أصبح رطبًا.,2
كان جيم مملوًا للغاية في الصباح.,بعد أن استيقظ، رأى جاره ساخنًا، ساخنًا على الحطب.,علمت زوجة جيم أنه ممل وصنعت قهوة.,صنع جيم وجبة الإفطار.,1
TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,2
لم يفرغ تيم النافذة الخلفية في الحمام.,كان تيم سعيدًا لأن لم يفرغ النافذة.,كان تيم قادرًا على اختراق النافذة.,فقد تيم مفتاحي المنزل.,2
يوجد في عائلة صديقنا مزرعة قديمة.,لا يطارده أي كلب ذكي مجموعة من الذئاب البرية.,أولئك الذين يعيشون في المزرعة القديمة لديهم كلب لا يخاف من شيء.,هناك كلب قديم على المزرعة فقد فقد عقله ويتكلم كل يوم.,1
يحتاج أورن إلى تحقيق ربح إضافي للدراسة.,يشعر أورن بالسعادة لأن سيكسب ربحًا إضافيا.,أتى أورن واكتسب وظيفة جزئية في توصيل البيتزا.,ذهب داخل وأتى واكتسب وظيفة جزئية.,1
كانت بيت من عارضات أزياء في عرض أزياء في مدرستها.,نسي بيت العرض، ولم تكن قادرة على إخبار أحد أنها لن تأتي.,نقصت بيت من الأكل واضطرت إلى الخروج.,خرجت بيت واضطرت إلى إتلاف هاتفها ولم تكن لديها وسيلة للعودة إلى المنزل.,2
كان هناك عاصفة رعدية ضخمة في الليل وأوقفت الكهرباء.,كان الجميع متأخرين واضطروا إلى السرعة.,أدرك الجميع أن الكهرباء كانت منقطعة لمدة طويلة.,عندما استيقظت، قمت بالدوران و رأيت الساعة الكهربائية تلمع الساعة ٦ صباحاً و كنت أعرف أنني فقدت مقابلي.,2
كانت أميليا تريد أن تكون صديقة لكيكو.,كانا يريدان أن يكونا صديقين لبعضهما البعض!,كانا هادئين جدا، لكنهما جذبا لبعضهما البعض دون أن يعرفا!,ذهبت تحت لتقول مرحبا.,1
ألقى رجلًا من كل مكان سكنه.,أصبح الآن عاطلًا عن العمل، وبالتالي أصبح المجتمع أقل ثراءً به.,فشل الرجل في الحصول على وظيفة، حتى مؤخرًا.,أخيرًا، ألقى الرجل السلاح من حوله.,2
زار تشاد أخته مؤخرًا للاحتفال بمناسبة عيد الميلاد.,قرر تشاد أنه لن يأكل قطعة الكيك.,أكل تشاد الكثير في الغداء حتى بدأ يشعر بالحرقة في الصدر، ثم جاءت أخته بقطعة كيك.,لم يأكل تشاد لأنه كان مصابًا بالإنفلونزا.,1
أحب أمبر القراءة.,ذهبت إلى المكتبة بدلاً من ذلك.,رغبت أصدقاء أمبر في رؤيتها في المكتبة في ليلة واحدة.,أحب أمبر أن يكون لديها كتاب في يدها.,2
قرر ديف أن يغسل سيارة أبويه في نهاية الأسبوع.,لم يكن أبوه غاضبًا لكنه أخبر ديف بالتأكد من أن يكن حذرا في المرة القادمة.,خطأ ديف في غسيل سيارة أبويه وترك شقًا فيها، لكنه أخبره.,حاول ديف أن يدمر السيارة أثناء غسلها.,1
أحببت كلو الكتاب الذي كانت تقرأه.,ذهبت ثلاث صفحات دون أن تذكر ما قرأته.,في ليلة واحدة، كانت كلو تلفزيونًا مُشغولًا بينما كانت تقرأ كتابها.,لم تستطع الكتاب أن يلفت انتباهها.,2
كان مايك يفتقر إلى مساحة خزانة.,أدرك مايك أن لديه عدد قليل من حاملات القمصان.,استمر مايك في الحصول على ملابس أكثر.,اكتشف مايك أن حاملات القمصان الزائدة تأخذ معظم مساحة الخزانة.,1
أخذت ملعقة الحفر إلى الغابة و دفنت هدية عيد ميلاد أخي.,كان له الكثير من المتعة، لذلك أصبح عادة سنوية الآن!,صنعت صيدًا كبيرًا للعبة له لكي يصيد فيه.,استغرب أخي في عيد ميلاد.,2
لما التقيت بميمي كانت امرأة قديمة.,هذا أمر صعب الإيمان به لأنها تحت 5 أقدام!,قالت لي ميمي إنها كانت تلعب البلياردو.,قالت لي ميمي إنها كانت لاعبة كرة سلة مشهورة.,2
كان رجل يبحث عن تبني قط جديد.,فأدخله المنزل فورا.,ذهب إلى متجر للحيوانات الأليفة و رأى قطاً حلواً.,رأى الرجل قطاً جميلاً كان يحبه حقا.,2
كانت رونا تعمل على البحث في المعالجة اللغوية الطبيعية.,وجدت رونا أن ذلك لذيذًا، مع نصف فلفل وقليل من الملح.,دخلت رونا في البحث لتوثيق نتائجها.,أخذت رونا فترة راحة من بحثها واصفرت بعض الكرافت من الماكاروني والجبن.,2
كان أرنولد خائفا من الأرانب.,كان أرنولد على وشك فقدان وعيه.,قاد أيل إلى قربه.,جعلت أم أرنولد شوربة الأرانب غداءا.,2
كان بيلي يريد أن يصبح طبيبا.,كان مكتئبا جداً فصار مشربا.,بدلاً من ذلك، قضى حياته في مطاردة النساء والتعاطي من المخدرات.,تراجع بيلي عن المدرسة.,2
كانت أختي في علاقة مفتوحة.,ألقت أختي به.,ألقت أختي بالرجل الذي كانت في علاقة مفتوحة معه بالرغم من ذلك.,ألقت أختي بالشخص الذي كانت في علاقة مفتوحة معه.,2
وعدت أمي لي بأن نذهب إلى مطعم يوم الجمعة.,أعترفت أمي لي عن كونها كذبت لي في الماضي.,قالت نفس الشيء في الأسبوع الماضي فلا أصدقها.,ناقشت أمي وأنا هناك عن الحاضر لفترة طويلة.,1
كان ريك رجلًا أكبر سناً مع عائلة كبيرة.,توفي ريك أثناء النوم وكان يبتسم.,كان ريك قد عاش حياة حزينة ومملّة.,زار أفراد عائلة ريكه أثناء مرضه.,2
أدرك سيمون وجود شاحنة نقل في أمام المنزل المجاور.,استمتع بوجودها طوال اليوم.,كانت صديقة سيمون آن تنتقل بعيدا.,كانت صديقة سيمون آن تنتقل للعيش معه.,1
كانت جميع المجموعة من الشباب تسلقون إلى القارب.,استمتعوا بوقت رائع على النهر ذلك اليوم.,كانوا ينتظرون بفارغ الصبر للذهاب حول الانهار.,استغرقوا جميعاً يوماً كاملاً في السباق على الماء وذهبوا إلى المنزل.,2
عملت سارة بجد كمدربة في مطعم.,كانت قادرة على الاستقالة من وظيفة الإدارة.,ذهبت إلى المدرسة في الليل وتخرجت بدرجة في برمجة الحاسوب.,فازت سارة بnothing في المزاد.,1
كانت عادا تفرغ القمامة في ليلة من الليل.,كان على عادا أن تجمع كل القمامة من الأرض.,فقدت البطاقة القمامة عندما خرجت عادا من الباب.,كانت البطاقة القمامة مفتوحة من فتحة في أعلىها.,1
كان ستيف قلقاً لأن فواتيره كانت تتراكم.,قبل أن يمر الوقت، كان ستيف يدفع جميع فواتيره في الوقت المحدد و كان مديناً بلا ديون.,كان ستيف يدفع مبالغ كبيرة جداً بسبب التأخير.,قرر ستيف أن يجد وظيفة تدفع له الراتب الأدنى.,1
كان بروس خائفاً من الظلام.,كان بروس شاكراً للغاية فابتسم لجيم بكل قوة على الشفاه!,سأل بروس جيم أن يطفئ الإضاءة.,وجد جيم مبردين وحرق بعض الشموع لصالحه.,1
كاننا جميعاً متعبين بعد يوم طويل في مملكة السحر.,فكرتنا أننا سوف نستطيع العودة يوماً آخر.,قررنا الخروج.,بقينا ٣ ساعات إضافية من أجل الترفيه.,1
حضرت العائلة الطعام ووضعتها في مكانها.,كانت العائلة يومًا جيدًا.,حفظوا الطعام للاحتفال في اليوم التالي.,ثم ذهبوا إلى رحلتهم لكنهم نسوا الطعام في المنزل.,1
كانت سάλι وسوزان متحمستين للخروج في الليل.,ذهبن إلى شقةهم وشاهنوا الأفلام بدلاً من ذلك.,بعد ساعتين كان النادي فارغاً تقريباً من الناس.,لم يكن لدى سάλι أي مال للذهاب.,1
أعطى معلمي تعليمات لنا بشأن المهمة التعاونية.,لكن معلمي أعطاني الدرجة الكاملة بينما حصلت على فشل.,شريكي لم يفعل أي شيء.,لم أعمل مع صديقي على المشروع.,1
كان الزوج وزوجته يحضران ولادة طفلهما في شهرين.,وافق الأب على أن الاسم جيد.,اقترحت الأم أن يسمى الطفل باسم صديق قريب سيئ التسمية.,اقترحت الأم أن يسمى الطفل آرون.,2
سار توم جبلًا.,أزعج توم زوجته.,بقى على رحلة تسلق أطول مما خطط له.,أصبح توم متعجلًا مع كلبِه أثناء السير.,1
كانت هناك رغبة شديدة في Bobby لامتلاك قطط في سن السادسة من عمره.,أصبح Bobby يفقد رغبته في قطط بعد ذلك اليوم.,تم إصابة Bobby من قطط الشارع على يده.,صديق Bobby إصابه.,1
كان هارولد يصنع القهوة قبل العمل.,اكتشف أن الحليب قد أصبح سيئاً بدرجة أنّه كان يتدفق بقطع.,أحب هارولد الحليب والسكر في قهوته.,أمسك هارولد بجوّز البرتقال من الثلاجة.,1
قررت أمي أن تجرب تلميع الأعين العلوية.,كانت أمي سعيدة لأنها حاولت ذلك لأنها كانت أسرع من إزالة الشعر بالملقاط.,أنجزت أمي التلميع بسرعة.,وجدت أمي أن ذلك لم يعمل لها.,1
عاش ليلي في شقة قديمة متسخة.,قال ليلي وداعاً للشقة في يوم الانتقال!,قررت ليلي الانتقال إلى شقة قديمة.,وجدت ليلي شقة جديدة و قررت الانتقال.,2
كان نيل قد كان يسافر عبر آسيا.,كان دائمًا يريد أن يذهب للغوص على الأمواج تحت أشعة الشمس في كاليفورنيا.,فكر نيل في السفر أكثر.,قرر نيل أن يحب آسيا كثيرًا حتى بقي هناك.,1
كانت كيلي سعيدة لأنها حصلت على هاتف جديد.,أعطت المتجر لها سعر عادل لتصليحها.,قشطت كيلي الهاتف على الشاشة.,قشطت كيلي الشاشة على الهاتف.,2
جاك أخي بيتش زار بيتها لتحديد مصدر صوت.,جاك نام على الكنبة لضمان سلامتها.,لم يتمكن جاك من العثور على مصدر الصوت لذلك بقت بيتش خائفة.,كان جاك خائفًا من النوم بمفرده في المنزل.,1
كانت سام في صفها التاسع.,أنهت بكتابة رسومات حتى أصبح الوقت لذهابها.,شعرت سام بالملل الشديد.,كانت سام متحمسة جدا.,1
كانت مورغان تريد أن تعقد حفلًا للشاي.,بقيت مورغان تخطط لاحتفال الشاي التالي لها.,كان حفل الشاي الأول لمورغان ذكريًا!.,كان حفل الشاي الأول لمورغان ذكريًا!.,2
وجدت بريدًا يحتوي على 600 دولار اليوم.,أنا غير صادق.,أعطيت كل المال لمنظمة خيرية.,قررت الاحتفاظ به حتى لو لم يكن لي.,2
اشترت إليزابيث أربعة أسماك من متجر الحيوانات الأليفة.,كان علي إليزابيث أن تعطي الكثير من الأسماك إلى منازل جديدة.,كان حوض الأسماك ل إليزابيث مفرطًا في الحجم.,اكتشفت إليزابيث أنهم لديهم صغارًا.,2
كانت صديقة تينا تقوم بتحضير بعض المكسيك.,قررت تينا أن تحضرها بنفسها.,أخطأت تينا بشدة في تحضيرها.,رأت تينا صديقتها. لم يفعل صديقها حتى يقطع البطاطس الحلوة.,2
يحب غريغ للعوازل للفتيات.,يحس غريغ بالندم على الفور.,يقوم غريغ بتناول العوازل للفتيات القليل.,حاول غريغ أن يختبر نوعًا جديدًا.,2
قرر غلين أن يحاول مطعم مكسيكي جديد.,لا يحتاج إلى قوله الكثير أن غلين كان راضياً عن تجربته الجديدة.,كان السعر رخيصاً وذو طعم رائع.,قدم المطعم لازانيا.,1
كان جونني يحتاج إلى اعتراف مع قس.,قال القسيس لجونني إن النساء يجعلهننا جميعاً خطاة.,قال جونني للقسيس عن كلب.,قال جونني للقسيس إنّه خان زوجته.,2
يعمل ألك في معرض رينيسانس.,كانوا ملزمين بتحقيق ذلك ليكون جزءًا من العرض.,ارتفع ألك في الأمام أمام الجميع.,بدأت هاتفي ألك بالهز خلال أداء.,2
كان مات يريد العودة في الزمن.,لم ينجح أبداً لأن السفر في الزمن يعتبر مستحيلًا معظم الأحيان.,كان مات يعاني من مشكلة في المخدرات ولكن قرر محاولة بناء آلة زمنية.,بنى آلة زمنية وذهب إلى عام 1800.,1
في عام 2005 قمت برحلة على الطرقات المتحركة لأول مرة بعد ثلاثين عاماً.,كانت رحلة ممتعة وأنا لم أعد خائفاً من الطرقات المتحركة.,لقد كان منذ فترة قصيرة، لذلك كنت قليلاً خائفاً.,ظننت أنها ستكون مخيفة جداً وضوضاء.,2
ذهلتنا اليوم رحلة طيران.,لست خائفاً anymore من الطائرات.,أخذنا رحلة العودة إلى المنزل و لم يكن هناك أي هبوط.,أحب الطائرات. لكننا انطلقنا ودمرنا.,1
أنا ألتقي جدي كل يوم الثلاثاء لشرب القهوة.,انتهت وقتنا للقهوة مبكراً حتى يذهب إلى المنزل وينام.,كان جدي متعبًا.,شعرت بالتعب الشديد.,1
كانا تحتاج إلى شراء فستان جديدًا للفعالية الرسمية الصيفية القادمة.,كان قيمته قليلاً مكلفة، لكنها قررت أنها تستحق ذلك.,رأت كانا فستانًا فريدًا سيحقق تمامًا مناسبة الفعالية الرسمية الصيفية.,ذهبت كانا لشراء فستانها في متجر الدولار.,1
تستحاج سوزان لقطع الشعر.,ذهبت سوزان إلى المنزل ودمعت بسبب قص شعرها.,قص شعر سوزان كان طويلًا جدًا.,ذهبت سوزان إلى مدرسة جمال لقطع شعرها.,2
حلقت شجرة في حديقة راي.,كل مرة فتح فيها خزانة كان يقرأ الشعر.,كان على راي أن يحصل على المحرك المخروطي في الخزانة، ولكن الباب كان صعب فتحه.,صنع راي الشجرة إلى بيت وكتب شعرا.,1
أحب تيموثي الرقص.,أحب الجميع رقصته و فاز بالمسابقة.,انضم تيموثي إلى جلسة رقص.,شارك تيموثي في مسابقة الرقص.,2
أريك حصل على هاتف محمول جديد.,استمتع المعلم بشدة حتى لم يهتم بضرب أريك.,صوت غازات أريك على شكل جرس في هاتفه انفجرت بينما كان يغاز.,دعوة هاتف أريك جاءت في الفصل.,2
استيقظت سارة مبكرًا لتنفيذ مهامها في المنزل.,أتى زوج سارة إلى المنزل مع ورود لتشجيعها.,بدأت سارة غسيل الملابس عندما انكسر الغسالة واندفعت الفرشاة الكهربائية.,شعرت سارة بالسعادة والفرح في أعمار كثيرة.,1
كان سام يركب الباص.,بعد فترة ما كان الموسيقى قد جعته مريحا تماما.,ركب الباص ضوء الحمر واصطدم بسيارة أخرى.,كان سام يقلق بشأن رحلة الباص.,2
كان آيان في بيت صديقه.,كان على آيان أن يمشي إلى المنزل في الظلام.,أخذ آيان رحلة إلى المنزل بسرور. كان بحاجة إلى الحصول على التمرين.,بقيت آيان في بيت صديقه لفترة طويلة جدًا و كان الظلام خارج عندما غادر.,2
أصاب ستو عروسته من القطط المصنوعة من الفرو أثناء خلافه معها.,عندما أعادها لشقيقته، نسيت شقيقته تمامًا عن القطط.,لم يعتذر ستو.,اشترى ستو شقيقته مجموعة كبيرة من القطط المصنوعة من الفرو.,2
كان بوب يريد هامبرغر.,ذهب بوب إلى ماكدونالدز في وقت لاحق من المساء.,انتظر بوب صبوراً ورفض التوجه لشراء عبر الإنترنت.,أصبح بوب في عجلة من أمره وذهب خارجًا لشراء برجر.,1
كان جون يعتقد أنه أفضل لاعب في ألعاب الفيديو على الإطلاق.,اكتشف جون أنه ليس كما هو قوي كما كان يعتقد.,تحدي جون بني و خسر.,كان الكثير من الناس يخسر لجون في ألعاب الفيديو.,1
ذهب جوى إلى الحديقة مع طائرته.,استمتع بوقت ممتع يلعب الطائرة طوال بعد الظهر!,كان الرياح قوية والحدائق خالية.,أطلق السلسلة وطارت الطائرة بعيدًا.,1
كان كريس يريد أن يحاول أن يلعب في فريق كرة القدم المدرسي.,أصبح كريس جزءًا من فريق كرة القدم!,أعد كريس تدريباته قبل المحاولات.,أتى المدرب إلى المحاولات و إستمتع كريس به.,1
كان رونالد يمتلك صديقة اسمها ستيفاني.,لم يهم رونالد، كان يخطط لقتله لستيفاني لاحقًا.,كان رونالد يكره ستيفاني بشدة.,أحب ستيفاني رونالد بشدة.,2
صلوا إلى الحدود الشرقية للصحراء في ظهر اليوم.,باع زيك الصور إلى مكاتب الأطباء مقابل مبلغ مالي نظيف.,أخذ زيك العديد من الصور من المناظر الطبيعية الجميلة.,أخذ زيك فيديوهات من الحيوانات المحلية.,1
كانت أليكس تحتاج إلى مستلزمات غذائية.,اشترت أليكس المستلزمات الغذائية.,ذهبت أليكس إلى متجر البقالة.,ذهبت أليكس إلى متجر السيارات.,1
ذهب جو إلى السينما لمشاهدة الفيلم الجديد.,دخل جو إلى السينما بحركة غير رسمية وابتسم.,لم يكن المسرح السينمائي يمتلك تذاكرًا لفيلم جديد.,كان جو مليئًا بالكثير من الطاقة.,1
كانت أودري خائفة من تجربة أطعمة جديدة.,استقبلت أودري مفاجأة عندما وقعت في حب مطعمهم وأكلتهم.,قررت أودري العمل على الشجاعة لكي تجرب متجرًا جديدًا قريبًا من بيتها.,ذهبت أودري إلى مطعم من نوع جديد.,2
كان توني يصنع بيتزا في مطعمه.,أمسك توني بمكبرة المياه الخاصة به، وطفئ النيران.,نسي توني عن البيتزا بينما كان يعد الدجاج، واشتعلت النار فيه وذاق سيئا.,وضع توني البيتزا في الفرن دون ضبط ساعة، واشتعلت النار في البيتزا بعد ساعة من الطهي.,2
كان جورج يكره الذهاب إلى المدرسة.,كانت امرأة حزينة جداً و أخذت جورج إلى المنزل.,كان جورج يلعب في المدرسة دائماً و يكذب على سارة. لا يعجب الناس به.,رفض جورج الخروج من السيارة في المدرسة.,1
جمعت عائلتي في يوم عيد الشكر.,كلنا في النهاية لم نستطع التوقف عن النزاع مع بعضنا البعض.,اختلف أفراد عائلتي في السياسة.,لم يكن بعض أفراد عائلتي على خير صيت مع عائلاتهم.,1
أحب كيم السباحة.,حفظت كيم ما يكفي الآن و الآن لديها حوض في حديقتها الخلفية!,قررت كيم الحصول على حديقة خلفية.,أصيبت كيم بعملا ثانياً و حجزت جميع سجلات أجرها.,2
جمع مات الأرانب.,أعطى مات كل أرانب له للذئب الجائع.,كان هناك ذئب يبحث عن الأرانب بجوار مات.,رآ مات فتاة نحيفة.,1
كانت كاثي مسؤولة عن شراء الخضروات.,لا تذهب كاثي أبداً إلى السوق دون تخطيط و قائمة.,كانت دائماً تنسى الأشياء.,استخدمت كاثي الكثير من المال، و لا تزال تفعل ذلك.,1
أحب إد الشرب، لكنه يفقد سيطرته بسهولة.,لم يلمس إد شربا منذ ولادته، سبعة أعوام مضت.,لم يكن إد يهتم واصل الشرب كل ليلة.,أراد إد أن يكون أبًا جيدًا عندما ولدت ابنته.,2
هزت الجرس و أجبت عليه.,هذا هو كيف قابلت أمك.,كان رقم خاطئ له صوت جميل.,ليس اسمها سارة.,1
حصل تروي على كلب جراند داني في الجمعة الماضية.,استغرق ساعات كل يوم في محاولة تدريبه منذ ذلك الحين.,كان الكلب صغيرا جدا.,تلف الكلب وسادات المنزل ودمر طائرة الموديل.,2
كان غريغ في المنزل مشغولاً.,كان غريغ سعيداً أنه لم يكن مشغولاً anymore.,جاء صديق غريغ إلى المنزل لمدخله إلى محاضرة دراسية.,قرر غريغ الذهاب لشراء لعبة فيديو.,2
كان بيلي في الخامسة من العمر.,أخذ بيلي ربع من العوامة.,أخرج بيلي أحد أسنانه.,أخيراً حصل بيلي على أسنانه الأولى.,1
كانت ريتا تواجه صعوبات كبيرة في العمل.,تحسنت علاقاتهم.,كان زميلها يثير الصراع لفترة من الزمن.,كان زميلها يبذل مجهودًا لتحسين الوضع لفترة من الزمن.,1
كان قد ثلج في الليلة السابقة.,وبعدها، كان بإمكانه الخروج من سيارته بنجاح.,كان على جون أن يرمي المطر على الطريق السريع.,كان على بوب أن يخرج سيارته من الثلج.,2
كان لجاري صعوبة في شرب الماء بما يكفي طوال اليوم.,قرر أن يترك الساعة الصباحية.,حاول استخدام جهاز استقبال لذكراه.,شعرت جاري بأن شرب كأس ماء كل مرة يصادف فيها الساعة الصباحية يشبه واجبًا.,2
ذهلتنا في رحلة للخيم عندما كنت صغيرًا.,ضمننا عدم العودة هناك مرة أخرى.,حاول حشرة الدخول إلى خيمتنا بينما كاننا ننام.,لم تكن الأوقات دائمًا أكثر المتعة.,2
أحب سام الإفطار.,قرر سام ألا يأكل وافلز مرة أخرى.,صنع سام وافلز له واضطر إلى أن يأكل الكثير منها في الصباح.,أحرق سام وافلز عن طريق الخطأ.,2
أسرع جو إلى البنك.,في وقت لاحق أسرع جو إلى السجن.,لم يهتم العمال بالشرطة.,حاول جو الهروب.,2
فقدت جين كلبها.,كانت جين سعيدة وممتنة.,خفي الكلب عنها شخص ما.,وجدت جين كلبها بعد ذلك.,2
كان يومًا غطى الثلج والجليد الأرض.,شكرًا لله، كان جيمي بخير.,لم يلاحظ جيمي وغرق في الثلج.,كان جيمي حذرًا من الغرق في الثلج والجليد.,1
في صباح أحد أيام السبت في فصل الربيع، قمت بتحميلي لعب الجولف مع الرجال.,عندما زرتاه في المستشفى، قالت الحارسة له أن سيكون بخير.,صديقي أصيب في الرأس بفalling acorn.,صديقي أصيب في الرأس بالكرة الذهبية.,2
أحب أن لOVE كعكة.,دخلت آن إلى الداخل وشاهدت كيف يصنعون الكعكات.,أذن البائع المحلي لآن بزيارة ورشة العمل.,مرت آن ذات يوم بمتجر لحوم.,1
قرر ماك أن يُنفق الكثير من المال على الطعام في المطاعم.,يشعر ماك بالسعادة الكبيرة لأنّه يُنقص ميزانته من خلال الطبخ في المنزل.,اكتشف ماك بعض الوصفات الجيدة للطبخ في المنزل.,بدأت دروس ماك في كيفية قيادة السيارة بتحكم يدوي.,1
هناك مرحلتان في بناء الجسم.,بدا أن إذا فعلت هذه المهمتين سوف تبدو ممتازا.,ليست هناك حاجة إلى نظام غذائي جيد، فقط التمرين.,هو من المهم أن تعمل على كلا المراحل.,2
كان روبي محبطاً بسبب واجتهته.,شعر روبي بالوحدة وجلست ليتى.,كان روبي يتلقى حلول مختلفة لمثل هذه المشكلة.,بقي روبي مستيقظاً طوال الصباح ولم يتمكن من إنهاؤها.,1
كان لويس يريد أن يربح المال عندما يكبر.,الآن لديه وظيفة جيدة الدخل و عائلة مريحة.,أخو لويس اتبع أهدافه في الحياة.,لعب لويس الجامعة ودرس بجد جدا.,2
كان توم يبحث في خزانته عن وجبة خفيفة.,ذهب الحشرة بعيداً و خسر توم شهيته.,رأى توم حشرة ضخمة تcrawl قربَه، و ي討ره الحشرات.,وجد توم جوز الهند، لكنه لاحظ أنّه يحتوي على ثقب حشرة.,1
أصابته Debbie فقدان أمها عندما كان Debbie يبلغ من العمر 15 فقط.,عاش Debbie حياة طويلة ومليئة بالسعادة مع زوجها و 4 أولاد.,لقيت Debbie رجلًا.,فقدت Debbie موتها.,1
كانت اليوم أول يوم في المدرسة.,أبي المدرسة.,كان معلمي سيئاً وقام الطلاب الآخرون بالضحك على قميصي.,حاولت عمل تاكو، لكن لا يبدو أنهم يعجبون بهم.,1
أتجهت نحوه الجسر في الأمطار، واصطدمت بزاوية.,أدركت ذلك اليوم جيداً مدى جودة بناء الجسر!,كانت على وشك أن أخرج من الطريق، لكنني توقفت قبل عبوره.,أصطدمت بزاوية مفاجئة واصطدمت بجانب الجسر.,2
ذهب جون على رحلة للخروج في الهواء الطلق مع شقيقه مارك.,في ذلك الوقت، دخل سمّور إلى خيمتهم.,في موقع الخيم، وضع الأخوان مارك و جون سيارتهم، وضعوا الخيمة، و رولوا السلال.,ذهب جون ومارك إلى الخيم مع الخيمة بقيَت في المنزل.,1
توقفت سيارة بول بعد بضعة أيام فقط من مغادرة driveway.,ثم أدرك بول أن محاولة إصلاح السيارة بنفسك يمكن أن تكون مكلفة.,قرر بول أن يطلب مساعدة механиك بدلاً من إصلاحها بنفسه.,انكسرت إصلاحات سيارة بول تمامًا.,2
لم يفرش أوسكار سريره.,صرخت عليه.,كان غرفته فوضويًا ورأى أبوه ذلك.,طلبت أم أوسكار منه أن يفرش سريره كل يوم.,2
كانت كايلا تحاول أن تأتي بأسماء أطفال لطفلها.,أصبح لكايلا اسم طفل أحبتهما.,أبكت كايلا زوجها بأسماء كلها.,مرت كايلا بمرحلة تسمية الأطفال.,1
ذهبت أنا وأصدقائي إلى سيز فلاج في الأسبوع الماضي.,وعدت بأنني لن أذهب إليه مرة أخرى.,أنا إنتزع على الطرية.,ركبت الطرية المتحركة مرة بعد مرة.,1
"كانت جين تحب موسيقى ""ذا دروز"".",عرفت جين أن العمل الصعب كان موجودًا، لكن استمرت مع أسماءها المفضلة في ذهنها.,قررت جين أن تريد ممارسة لتحقيق صوت الجيتار مثل هندRIX.,رغبت جين في أن تصبح موسيقيًا أيضًا.,2
كان هنري يتنافس على الوصول إلى العمل في صباح أحد الأيام.,أعطى له بطاقة لسرعة الإطلاق!,أوقفه الشرطة.,وجدت الشرطة أنه كان يسير تحت الحد الأدنى للسرعة.,1
TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,1
صوت الموقر عبر الغرفة بعد أن تم الإدلاء بالحكم.,أستطيع أن أشعر بالشعر الحاد للخيط يشد حول عنقي.,كانت حكماً بالسجن مدى الحياة دون إطلاق السراح. لا أعرف إذا كنت أستطيع أن أتحمل الحياة في السجن.,حُكم عليّ بالسجن خمس سنوات بسبب جرائمي.,1
كان النهر ممتلئاً بالشباب الذين كانوا يزورون على أنابيب داخلية.,استعرض الرجل المحيط و wondered كم من الوقت كان نائماً.,كان رجلًا نائمًا في قاربته.,استيقظ الرجل على قاربه.,1
